Action;Akce
"App Name";"Název aplikace"
Client;Zákazník
Date;Datum
Invoice;Faktura
"Invoice %s";"Faktura %s"
"Invoice N°";"Faktura č."
"Invoice NÂ°";"Faktura č."
"List of your invoices";"Seznam faktur"
"My Invoices";"Moje faktury"
Order;Objednávka
Orders;Objednávky
"Paid At";Zaplaceno
"Paid at:";Zaplaceno:
"Price Excl. Tax";"Cena bez DPH"
Qty;Množství
"This feature is not ready yet. Please try again later.";"Tato funkce zatím není připravena. Zkuste to prosím později."
"Total Excl. Tax";"Celkem bez DPH"
"You don't have any invoices yet";"Zatím nemáte žádné faktury"
﻿Action;Akce
