"An error occurred while deleting the event";"有一个错误删除的事件"
"An error occurred while loading this event";"发生错误加载此事件"
"Beginning date:";"开始日期："
"Calendar successfully deleted";"日历成功删除"
"Calendar's URL";"URL日历"
"Calendar's title";"日历称号"
"Change picture";"改变形象"
"Custom Page";"自定义页面"
"Delete this calendar?";"删除此日历？"
"Delete this event?";"删除这个活动？"
"Ending date:";"竣工日期："
"Enter your calendar's title";"输入日历的标题"
"Event";"事件"
"Event successfully deleted";"事件成功删除"
"Event successfully saved";"事件保存成功"
"Event title:";"事件的标题："
"Illustration";"插图"
"Max size: 2000x2000px - allowed formats: jpg & png";"最大尺寸： 2000x2000px - 允许格式： JPG和PNG"
"Modify the event";"修改事件"
"RSVP";"RSVP /请回复"
"RSVP URL:";"RSVP网址："
"Your Facebook page ID";"你的Facebook页面的ID"
"Your Facebook page ID <span class=""required-entry"">*</span> :";"你的Facebook页面的ID的 <span class=""required-entry"">*</span> :"
"Your calendar is empty";"您的日历是空的"
"iCal";"iCal中"
