All of your modules are up to date;Todos os seus módulos estão atualizados
Click here to send your module;Clique aqui para enviar seu módulo
Drop your module here;Envie o seu módulo aqui
"Installing module <em><span id=""label_module""></span></em>";"Instalando o módulo <em><span id=""label_module""></span></em>"
Installing;Instalando
Installing your module;Instalando seu módulo
Module successfully installed;Módulo instalado com sucesso
Module to upload;Módulo para upload
Modules Installation;Instalação de módulos
Modules successfully installed!;Módulos instalados com sucesso.
No directory provided;Nenhum diretório fornecido
No module to install;Nenhum módulo para instalar
No modules uploaded yet;Nenhum módulo carregado ainda
Please wait, we're installing your module;Por favor aguarde, estamos instalando o módulo
Please, enter a name;Por favor, insira um nome
Please, fill out all fields;Por favor, preencha todos os campos
Processing the installation;Processamento da instalação
Retry;Tentar novamente
Select a module to upload;Selecionar um módulo para upload
The database connection failed. Please, check the entered information.;A conexão com o banco falhou. Por favor, verifique as informações inseridas.
The entered password confirmation does not match the entered password.;A confirmação da senha digitada não corresponde a senha digitada.
The file %s does not exist;O arquivo %s não existe
The folder %s is not writable. Please fix this issue and try again.;A pasta %s não é gravável. Por favor corrigir esse problema e tente novamente.
The folder %s is not writable.;A pasta %s não é gravável.
The following folders are not writable: <br /> - %s;As seguintes pastas não são graváveis: <br /> - %s
"The installation of the module <span id=""installation_failed_module_name""></span> has failed: <span id=""installation_failed_because""></span>";"A instalação do módulo <span id=""installation_failed_module_name""></span> has failed: <span id=""installation_failed_because""></span>"
This process may take few minutes, please do not refresh the page;Este processo pode demorar alguns minutos, por favor, não atualize a página
Unable to extract the archive.;Não foi possível extrair o arquivo.
Unable to open the archive.;Não é possível abrir o arquivo.
Unable to open the file. Please, make sure that you sent a valid archive.;Não é possível abrir o arquivo. Por favor, certifique-se de que você enviou um arquivo válido.
Upload a module;Fazer upload de um módulo
Upload your modules;Enviar seus módulos
