"Access restricted to authorized members only";"Přístup povolen pouze autorizovaným uživatelům"
"Allow all the users by default:";"Povolit všem uživatelům:"
"Choose the features to lock:";"Vyberte stránky/moduly, které chcete uzamknout"
"Lock the entire application?";"Zamknout celou aplikaci?"
"Restrict Access";"Omezený přístup (jen s povolením vlastníka aplikace)"
"We are sorry but your account does not have enough permissions to access this page";"Je nám líto, ale váš účet nemá dostatečná oprávnění pro přístup na tuto stránku"
"the email address";"e-mailová adresa"
"the first name";jméno
"the gender";oslovení
"the last name";příjmení
"the password";heslo
"﻿Lock the entire application?";"Zamknout celou aplikaci?"
