" is now yours!";"gehört jetzt dir!"
"%d validated points = ";"%d validiert Punkte ="
"1 loyalty point =";"1 Treuepunkt ="
"1 point";"1 Punkt"
"1 validated point = ";"1 validiert Punkt ="
"An error occurred while saving the password. Please try again later";"Fehler beim Speichern des Kennworts. Bitte versuchen Sie es später noch einmal"
"An error occurred while saving the password. Please try again later.";"Beim Speichern des Passworts ein Fehler aufgetreten. Bitte versuchen Sie es später noch einmal."
"An error occurred while saving your loyalty card.";"Beim Speichern Ihrer Kundenkarte ist ein Fehler aufgetreten."
"An error occurred while saving your loyalty card. Please fill all fields in.";"Beim Speichern Ihrer Kundenkarte ist ein Fehler aufgetreten. Bitte füllen Sie alle Felder aus."
"An error occurred while validating point. Please try again later.";"Während der verwaltung der Punkte ist ein Fehler aufgetreten. Bitte versuchen Sie es später noch einmal."
"Card name";Kartennamen
Conditions;Bedingungen
Congratulations;Gratulation
"Current card";"Aktuelle Karte"
"Delete this password?";"Möchten Sie dieses Passwort löschen ?"
"Employee's name";Mitarbeitername
"Employee's name:";"Name des Mitarbeiters:"
"Employee's password";"Passwort des Mitarbeiters"
"Employee's password:";"Mitarbeiters Passwort:"
"Enter the password";"Geben Sie das Kennwort"
"My new loyalty card";"Meine neue Kundenkarte"
"My passwords";"Meine Passwörter"
"Number of points";Punkte
"Please enter a name";"Bitte geben Sie einen Namen ein"
"Please enter the password";"Bitte geben Sie das Passwort ein"
"Please log in.";"Bitte melden Sie sich an"
"Please show your phone to the store person so that he enters his password";"Bitte zeigen Sie Ihr Telefon der Store-Person damit er sein Kennwort eingibt"
"Point%s successfully validated";"Punkt %s erfolgreich verwaltet"
"Previous cards";"vorherige Karte"
Reward;Belohnung
"We are sorry but this card is temporarily blocked";"Es tut uns leid, aber diese Karte wurde vorübergehend gesperrt"
"We are sorry, your card is temporarily blocked";"Es tut uns leid, Ihre Karte wurde vorübergehend gesperrt"
"Wrong password. Be carefull! %d remaining attempt%s before locking your card. Ask the store person for validating your point";"Falsches Passwort. Seien Sie vorsichtig! %d Nummer(n) Versuch %s bevor Ihre Karte gesperrt. Bitten Sie die Speicher-Person für die Überprüfung Ihrer Punkt"
"Wrong password.<br />Be carefull! %d remaining attempt%s before locking your card.<br /> Ask the store person for validating your point";"Falsches Passwort. <br /> Seien Sie vorsichtig! %d %s verbleibenden Versuche zum Sperren Ihrer Karte. <br /> Frage Shop Person für Validierung Ihrer Punkt"
"You have exceeded the number of attempts to validate points. Your card is locked for 24h";"Sie haben die Anzahl der Versuche, um Punkte zu verwalten überschritten. Ihre Karte ist für 24 Stunden gesperrt"
"You have unlocked %d loyalty card%s";"Sie haben% d-Kundenkarte entriegelt %s"
"You just finished your card";"Sie haben Ihre Karte aufgebraucht"
"You must be logged in to validate points";"Sie müssen angemeldet sein, um Punkte zu verwalten"
"You own:";"Sie besitzen:"
"You're gonna validate <span id=""number_of_points"">1 point</span>";"Du wirst validate <span id=""number_of_points""> 1 Punkt </span>"
"Your loyalty card has been saved successfully";"Ihre Treue-Karte wurde erfolgreich gespeichert"
"Your password must be 4 digits";"Ihr Passwort muss 4-stellig sein"
point;point
"point to validate";"Punkt überprüfen"
"points to validate";"Punkte überprüfen"
"validated points = ";"validierte Punkte ="
