"Add a";hinzufügen
"Add a page";"Hinzufügen einer Seite"
"Click on";"Klicken Sie auf"
"Click on a page to add it to the folder";"Klicken Sie auf eine Seite, um sie dem Ordner hinzufügen"
"Click on a page to add it to the folder <span id=""folder_name"" class=""folder_name"">""%s""</span>";"Klicken Sie auf eine Seite, um sie in den Ordner <span id=""folder_name"" class=""folder_name""> ""%s"" hinzufügen </span>"
"Close mobile display";"Schließen des mobile Display"
"Delete this folder and all its subfolders?";"Löschen Sie diesen Ordner und alle seine Unterordner?"
"Folder title is required";"Titel Ordner ist erforderlich"
Folders;Ordner
"Mobile display";Handy-Display
"New folder";"Neuer Ordner"
Subtitle;Untertitel
"You cannot add this feature";"Sie können diese Funktion nicht hinzufügen"
"You must first complete the current category creation process";"Sie müssen zuerst die aktuellen Kategorie Entstehungsprozesse abschließen"
"You will lose all unsaved changes, continue?";"Sie werden alle nicht gespeicherten Änderungen verlieren, fortfahren?"
"to add a folder.";"einen Ordner hinzufügen."
"to add a subfolder.";"einen Unterordner hinzuzufügen."
