"An error occurred while deleting the event";"Při mazání události došlo k chybě"
"An error occurred while loading this event";"Při nahrávání události došlo k chybě"
"Beginning date:";"Počáteční datum:"
"Calendar successfully deleted";"Kalendář byl úspěšně smazán"
"Calendar's URL";"URL kalendáře"
"Calendar's title";"Název kalendáře"
"Change picture";"Změnit obrázek"
"Create a new event";"Vytvořit novou událost"
"Custom Page";"Vlastní stránka"
"Delete this calendar?";"Smazat tento kalendář?"
"Delete this event?";"Odstranit tuto událost?"
"Ending date:";"Datum ukončení:"
"Enter your calendar's title";"Zadejte název kalendáře"
Event;Událost
"Event successfully deleted";"Událost byla smazána"
"Event successfully saved";"Událost byla uložena"
"Event title:";"Název události:"
Illustration;Obrázek
"Max size: 2000x2000px - allowed formats: jpg & png";"Maximální velikost: 2000x2000px - povolené formáty: jpg a png"
"Modify the event";"Upravit událost"
RSVP;RSVP
"RSVP URL:";"RSVP URL:"
"Your Facebook page ID";"Vaše Facebook page ID"
"Your Facebook page ID <span class=""required-entry"">*</span> :";"Vaše Facebook page ID <span class = ""required-entry"">*</ span>:"
"Your calendar is empty";"Váš kalendář je prázdný"
iCal;iCal
"﻿An error occurred while deleting the event";"Při mazání události došlo k chybě"
