+ Add a track;+ Add uma faixa
Add albums and tracks to the playlist:;Adicionar álbuns e faixas para a lista de reprodução:
Are you sure you don't want to create an album for these tracks?;Tem certeza de que não quer criar um álbum para essas faixas?
Are you sure you don't want to create an album for this track?;Tem certeza de que não quer criar um álbum para esta faixa?
Are you sure you want to delete this album (this won't delete tracks)?;Tem certeza de que deseja excluir este álbum (isso não irá excluir as faixas)?
Are you sure you want to delete this album?;Tem certeza de que deseja excluir este álbum?
Are you sure you want to delete this playlist?;Tem certeza de que deseja excluir esta playlist?
Are you sure you want to delete this track?;Tem certeza de que deseja excluir esta faixa?
Artist:;Artista:
Artist;Artista:
Album;Álbum
Albums;Álbuns
Albums:;Álbuns:
An error occurred while deleting your album. Thanks for trying later.;Ocorreu um erro durante a exclusão de seu álbum. Obrigado. Tente mais tarde.
An error occurred while deleting your playlist. Thanks for trying later.;Ocorreu um erro ao excluir sua playlist. Obrigado. Tente mais tarde.
An error occurred while deleting your track. Thanks for trying later.;Ocorreu um erro durante a exclusão de sua faixa. Obrigado. Tente mais tarde.
An error occurred while saving your playlist. Thanks for trying later.;Ocorreu um erro ao salvar a sua playlist. Obrigado. Tente mais tarde.
An error occurred while deleting you images gallery. Please try again later.;Ocorreu um erro ao excluir a galeria de imagens. Por favor, tente novamente mais tarde.
An error occurred while loading pictures. Please try later.;Ocorreu um erro ao carregar imagens. Por favor, tente mais tarde.
An error occurred while loading videos. Please try later.;Ocorreu um erro ao carregar vídeos. Por favor, tente mais tarde.
An error occurred while saving your images gallery. Please try again later.;Ocorreu um erro ao salvar a sua galeria de imagens. Por favor, tente novamente mais tarde.
An error occurred while saving your videos gallery. Please try again later.;Ocorreu um erro ao salvar a sua galeria de vídeos. Por favor, tente novamente mais tarde.
Audio;Aúdio
buy;comprar
Channel;Canal
Choose an album;Alterar um álbum
close;fechar
Custom;Custom
Delete this gallery?;Deletar a galeria?
empty;vazio
Feed URL;Feed URL
"Feed URL <span class=""required-entry"">*</span> :";"Feed URL <span class=""required-entry"">*</span> :"
from;a partir de
Gallery Name;Nome da Galeria
"Gallery Name <span class=""required-entry"">*</span> :";"Nome da Galeria <span class=""required-entry"">*</span> :"
Group;Grupo
hide;ocultar
I'm listening to;Estou ouvindo
Images gallery has been saved successfully;Galeria de Imagens foi salva com sucesso
Instagram;Instagram
Last update:;Última atualização:
loop;loop
Maximum size : 2000*2000 px - Allowed filetypes : jpg and png;Tamanho máximo : 2000*2000 px - Tipos de arquivo permitidos : jpg and png
music;música
My pictures;Minhas imagens
next;próximo
No album found;Nenhum álbum encontrado
No artist found;Nenhum artista encontrado
No track found;Nenhuma faixa encontrada
on;em
Parameter;Parâmetro
Parameter/Feed Url;Parâmetro/Feed Url
pause;pause
Picasa;Picasa
Picture%s;Imagem%s
play;play
PLAYER;PLAYER
Playlist;Playlist
Playlist title:;Título Playlist:
Playlists;Playlists
Playlist successfully saved.;Playlist salvo com sucesso.
Podcast;Podcast
Podcast URL (iTunes format);Podcast URL (iTunes formato)
previous;anterior
Read all;Leia tudo
Required field;Campo obrigatório
Search/Url;Pesquisa/Url
share;compartilhe
shuffle;aleatório
The entered name is not a valid Instagram user.;O nome informado não é um usuário válido do Instagram.
This element is not an album.;Este elemento não é um álbum.
track;faixa
tracks;faixas
Track;Faixa
Tracks;Faixas
Type;Tipo
URL (.mp3):;URL (.mp3):
Videos gallery has been saved successfully;Galeria de Vídeos foi salva com sucesso
Vimeo;Vimeo
