" is now yours!";"è ora vostro!"
"1 loyalty point =";"1 punto fedeltà ="
"1 point";"1 punto"
"1 validated point =";"1 punto convalidato ="
"1 validated point = ";"1 punto convalidato ="
"An error occurred while saving the password. Please try again later";"Si è verificato un errore durante il salvataggio della password. Si prega di riprovare più tardi"
"An error occurred while saving the password. Please try again later.";"Si è verificato un errore durante il salvataggio della password. Si prega di riprovare più tardi"
"An error occurred while saving your loyalty card.";"Si è verificato un errore durante il salvataggio della carta fedeltà."
"An error occurred while saving your loyalty card. Please fill all fields in.";"Si è verificato un errore durante il salvataggio della carta fedeltà. Si prega di compilare tutti i campi."
"An error occurred while validating point. Please try again later.";"Si è verificato un errore durante la convalida punto. Si prega di riprovare più tardi."
"Card name";"Nome Carta"
"Congratulations";"Congratulazioni"
"Current card";"Carta corrente"
"Delete this password?";"Eliminare questa password?"
"Employee's name";"Nome del dipendente"
"Employee's name:";"Nome del dipendente:"
"Employee's password";"Password del dipendente"
"Employee's password:";"Password del dipendente:"
"Enter the password";"Inserisci la password"
"My new loyalty card";"La mia nuova carta fedeltà"
"My passwords";"My password"
"No card available";"Carta non disponibile"
"Number of points";"Numero punti"
"Please enter a name";"Inserisci un nome"
"Please enter the password";"Inserisci una password"
"Please show your phone to the store person so that he enters his password";"Mostra il numero di telefono a persona nello store in modo che possa inserire la sua password"
"Point%s successfully validated";"Punti%s validati correttamente"
"Previous cards";"Carte precedenti"
"Reward";"Ricompensa"
"This card is uniq:";"Questa carta è unica:"
"Use only once?";"Utilizzare solo una volta?"
"We are sorry but this card is temporarily blocked";"Siamo spiacenti, questa carta è temporaneamente bloccata"
"Wrong password. Be carefull! %d remaining attempt%s before locking your card. Ask the store person for validating your point";"Password errata. Fate attenzione! %d tentativi rimasti %s prima di bloccare la vostra carta. Chiedete alla persona negozio per la convalida punto"
"Wrong password.<br />Be carefull! %d remaining attempt%s before locking your card.<br /> Ask the store person for validating your point";"Password errata. Fate attenzione! %d tentativi rimasti %s prima di bloccare la vostra carta. Chiedete alla persona negozio per la convalida punto"
"You have exceeded the number of attempts to validate points. Your card is locked for 24h";"È stato superato il numero di tentativi per convalidare punti. La sua carta è bloccata per 24 ore"
"You just finished your card";"Hai appena finito la tua carta"
"You must be logged in to validate points";"You must be logged in to validate points"
"Your loyalty card has been saved successfully";"Devi essere registrato per validare punti"
"Your password must be 4 digits";"La password deve essere di 4 cifre"
"is now yours!";"è ora Tuo!"
"point";"Punto"
"point to validate";"punto da validare"
"points to validate";"punti da validare"
"validated points =";"punti convalidati ="
"validated points = ";"Punti convalidati ="
