"%s Update";"%s Ενημέρωση"
"All of your modules are up to date";"Όλα τα πρόσθετά σας είναι ενημερωμένα"
"Click here to send your module";"Κάντε κλικ εδώ για να ανεβάσετε το πρόσθετό σας"
"Drop your module here";"Αφήστε το πρόσθετο εδώ"
"Host";"Host"
"Installing";"Γίνεται εγκατάσταση"
"Installing module <em><span id=""label_module""></span></em>";"Γίνεται εγκατάσταση του προσθέτου <em><span id=""label_module""></span></em>"
"Installing your module";"Γίνεται εγκατάσταση του προσθέτου σας"
"Module successfully installed";"Το πρόσθετο εγκαταστάθηκε επιτυχώς"
"Module to upload";"Πρόσθετο προς ανέβασμα"
"Modules Installation";"Εγκατάσταση Προσθέτων"
"Modules successfully installed!";"Το πρόσθετα εγκαταστάθηκαν επιτυχώς!"
"No directory provided";"Δεν έχει δηλωθεί φάκελος"
"No module to install";"Δεν υπάρχει πρόσθετο προς εγκατάσταση"
"No modules uploaded yet";"Δεν έχουν ανεβεί πρόσθετα ακόμα"
"Or set the correct permissions to the following files and folders and try again:";"ή να ορίσετε τα σωστά δικαιώματα στα ακόλουθα αρχεία και φακέλους και δοκιμάσετε ξανά:"
"Package Details";"Πληροφορίες Πακέτου Εγκατάστασης"
"Path to your system";"Διαδρομή του συστήματός σας"
"Please update the module to the %s version before installing this update.";"Παρακαλούμε ενημερώστε το πρόσθετο στην έκδοση %s πριν εγκαταστήσετε αυτή την ενημέρωση."
"Please update your system to the %s version before installing this update.";"Παρακαλούμε ενημερώστε το σύστημά σας στην έκδοση %s πριν εγκαταστήσετε αυτή την ενημέρωση."
"Please wait, we're installing your module";"Παρακαλούμε περιμένετε, γίνεται εγκατάσταση του προσθέτου σας"
"Please, enter a name";"Παρακαλούμε συμπληρώστε ένα Όνομα"
"Please, fill out all fields";"Παρακαλούμε συμπληρώστε όλα τα πεδία"
"Port";"Θύρα"
"Processing the installation";"Γίνεται επεξεργασία της εγκατάστασης"
"Retry";"Προσπαθήστε ξανά"
"Select a module to upload";"Επιλέξτε ένα πρόσθετο προς ανέβασμα"
"Some files and folder are not writable. You can either provide your FTP access to install this update:";"Κάποια αρχεία και φακέλοι δεν είναι εγγράψιμα. Μπορείτε εναλλακτικά να συμπληρώσετε τα FTP στοιχεία σας για να εγκαταστήσετε αυτή την ενημέρωση:"
"Some files don't have the right permissions and can't be updated";"Κάποια αρχεία δεν έχουν τα σωστά δικαιώματα και δεν γίνεται να ενημερωθούν"
"The database connection failed. Please, check the entered information.";"Η σύνδεση με την βάση απέτυχ. Παρακαλούμε, ελέγξτε τα στοιχεία σύνδεσης."
"The entered password confirmation does not match the entered password.";"Ο Κωδικός επαλήθευσης δεν ταιριάζει με τον συμπληρωμένο Κωδικό."
"The file %s does not exist";"Το αρχείο %s δεν υπάρχει"
"The file %s is not writable.";"Το αρχείο %s δεν είναι εγγράψιμο."
"The folder %s is not writable.";"Ο φάκελος %s δεν είναι εγγράψιμος."
"The folder %s is not writable. Please fix this issue and try again.";"Ο φάκελος %s δεν είναι εγγράψιμος. Παρακαλούμε διορθώστε το πρόβλημα και δοκιμάστε ξανά."
"The following files and folders are not writable:";"Τα ακόλουθα αρχεία και φακέλοι δεν είναι εγγράψιμα:"
"The following files and folders are not writable: <br /> - %s";"Τα ακόλουθα αρχεία και φακέλοι δεν είναι εγγράψιμα: <br /> - %s"
"The following folders are not writable: <br /> - %s";"Οι ακόλουθοι φακέλοι δεν είναι εγγράψιμοι: <br /> - %s"
"The installation of the module <span id=""installation_failed_module_name""></span> has failed: <span id=""installation_failed_because""></span>";"Η εγκατάσταση του προσθέτου <span id=""installation_failed_module_name""></span> απέτυχε: <span id=""installation_failed_because""></span>"
"The package you have uploaded is invalid.";"Το Πακέτο Εγκατάστασης που ανεβάσατε, είναι μη-έγκυρο."
"This process may take few minutes, please do not refresh the page";"Αυτή η διαδικασία μπορεί να διαρκέσει μερικά λεπτά, παρακαλούμε μην ανανεώσετε την σελίδα"
"This update is designed for the %s, you can't install it in your %s.";"Αυτή η ενημέρωση είναι σχεδιασμένη για το %s, δεν μπορείτε να την εγκαταστήσετε στο %s."
"Unable to connect to your FTP. Please check the connection information.";"Δεν ήταν δυνατή η σύνδεση με FTP. Παρακαλούμε ελέγξτε τα στοιχεία σύνδεσης."
"Unable to detect your site. Please make sure the entered path is correct.";"Δεν ήταν δυνατός ο εντοπισμός της ιστοσελίδας σας. Ελέγξτε αν η διαδρομή που ορίσατε είναι η σωστή."
"Unable to extract the archive.";"Δεν ήταν εφικτή η αποσυμπίεση του αρχείου."
"Unable to open the archive.";"Δεν ήταν εφικτό το άνοιγμα του συμπιεσμένου αρχείου."
"Unable to open the file. Please, make sure that you sent a valid archive.";"Δεν ήταν εφικτό το άνοιγμα του αρχείου. Παρακαλούμε, ελέγξτε ότι ανεβάσατε ένα έγκυρο συμπιεσμένο αρχείο."
"Upload a module";"Ανεβάστε ένα πρόσθετο"
"Upload your modules";"Ανεβάστε τα πρόσθετά σας"
"Username";"Χρήστης"
"You already have installed this update.";"Έχετε ήδη εγκαταστήσει αυτή την ενημέρωση."
