"%s - Account creation";"%s - Creazione account"
"%s - Your new password";"%s - La tua nuova password"
"A request to reset your password has been made.";"Una richiesta per reimpostare la password è stata inviata."
"An error occurred while connecting to your Facebook account. Please try again later";"Si è verificato un errore durante la connessione al proprio account Facebook. Si prega di riprovare più tardi"
"Are you sure you want to remove this user?";"Sei sicuro di voler rimuovere questo user?"
"Change Password";"Cambia password"
"Congratulations,";"Congratulazioni,"
"Create";"Crea"
"Create a new user";"Crea un nuovo user"
"Create an account";"Crea un account"
"Customer";"Cliente"
"Customers";"Clienti"
"Disconnect";"Disconnetti"
"Edit the user %s";"Modifica L'user %s"
"First name";"Nome"
"Forgot your password?";"Hai dimenticato la password?"
"Gender";"Genere"
"Here are your credentials:";"Ecco le tue credenziali"
"I accept the <u>privacy policy</u>";"Accetto la <u>privacy policy</u>"
"If you encounter any problems, do not hesitate to contact us:";"Se hai problemi, non esitate a contattarci:"
"Last name";"Cognome"
"Login:";"Login:"
"Miss";"Sig.ina"
"Mr";"Sig."
"Mrs";"Sig.ra"
"My Account";"My account"
"My application's users";"Gli user della mia applicazione"
"Old Password";"Vecchia password"
"Or with your account";"o con il tuo account"
"Please enter your email address. We'll send you your password right now.";"Inserisci il tuo indirizzo email. Ti invieremo la password."
"Please log in with your mobile phone";"Effettua il login con il tuo smartphone"
"Privacy Policy";"Privacy Policy"
"See you soon,";"Arrivederci,"
"Show me in ranking";"Mostrami in classifica"
"The old email address does not match the entered email address.";"Il vecchio indirizzo email non corrisponde l'indirizzo e-mail inserito."
"This user can access the pages locked by the ""Locker"" feature";"Questo utente può accedere alle pagine bloccate dalla funzionalità ""Locker"""
"This user is visible in ranking";"Questo utente è visibile in classifica"
"Title";"Titolo"
"User";"User"
"User Information";"Informazioni user"
"Users";"Users"
"We are sorry but the %s account is already linked to one of our customers";"Ci dispiace ma l'account % s è già collegato a uno dei nostri clienti"
"You have created your account. With this account, you will be able to enjoy great offers available in our application.";"Avete creato il vostro account. Con questo account, sarete in grado di godere di grandi offerte disponibili nella nostra applicazione."
"Your account has been successfully saved";"Il tuo account è stato salvato con successo"
