"1. Download the app previewer:";"1. App ön izleyicisi indir:"
"2. Open the app and login";"2. App yi açın ve giriş yapın"
"<b>File type:</b> %s";"<b>Dosya türü:</b> %s"
"<span>Click on</span><button class=""add"" type=""button""><i class=""icon-plus""></i></button> <span>to add an item.</span>";"<span>Öge eklemek için</span><button class=""add"" type=""button""><i class=""icon-plus""></i></button> <span>tıklayın.</span>"
Activated;Aktifleştirildi
"Add a new icon";"Yeni bir ikon ekleyin"
"Add pages";"Sayfalar ekleyin"
"Additional options";"Ek seçenekler"
"An error occured while copying your app icon. Please check the icon, try to send it again and try again.";"App ikonu kopyalanırken bir hata oluştu. App ikonunu kontrol edin, tekrar göndermek ve yeniden deneyin."
"An error occurred during the generation of your QRCode. Please try again later.";"QR codu üretimi sırasında hata meydana geldi. Daha sonra tekrar deneyiniz."
"An error occurred while adding the option";"Seçeneği eklenirken bir hata oluştu"
"An error occurred while changing your layout.";"Ekran planını değiştirirken bir hata oluştu."
"An error occurred while deleting the option";"Seçeneği silinirken bir hata oluştu"
"An error occurred while deleting your picture";"Resmi silinirken bir hata oluştu"
"An error occurred while editing file (%s).";"Dosya (% s) düzenleme sırasında bir hata oluştu."
"An error occurred while loading";"Yükleme sırasında bir hata oluştu"
"An error occurred while saving the application. Please try again later.";"Uygulamayı kaydedilirken bir hata oluştu. Daha sonra tekrar deneyiniz."
"An error occurred while saving your colors.";"Renkleri kaydedilirken bir hata oluştu."
"An error occurred while saving your page name.";"Sayfa adını kaydedilirken bir hata oluştu."
"An error occurred while saving. The selected icon is not valid.";"Kaydedilirken bir hata oluştu. Seçilen ikon geçerli değil."
"An error occurred while sorting your pages. Please try again later.";"Sayfalarınızı sıralama sırasında bir hata oluştu. Daha sonra tekrar deneyiniz."
Analytics;Analizler
"Android APK Generation";"Android APK Generation"
"Android Version";"Android Version"
"App Store Icon";"App Mağza ikonu"
"Apple's Information";"Apple'ın Bilgisi"
"Application name";"Uygulam ismi"
"Are you sure you want to remove this application?";"Bu uygulamayı silmek istediğinize emin misiniz?"
"At least 200 characters in the description";"Açıklamasında en az 200 karakter olmalı"
"At least, 4 pages in the application";"Uygulamanızda en az 4 sayfa olmalı"
Audio;Audio
"Average by customer";"Müşteri tarafından ortalama"
Book;Ayırmak
"Bundle Id";"Paket Id"
Business;İş
"Buy one, get one!";"Bir alana,bir bedava!"
Catalogs;Kataloglar
Certificate;Sertifika
"Change your";Değiştirin
"Change your template";"Temanızı değiştirin"
"Change your<br /><span>picture</span>";"Resminizi<br /><span>değiştirin</span>"
"Checking CNAME configuration:";"CNAME yapılandırmasını denetleme:"
"Choose a <br /><span class=""bold"">picture</span>";"Bir resim<br /><span class=""bold"">seç</span>"
"Choose a country";"Bir ülke seç"
"Choose a font family";"Yazı tipi seçin"
"Choose a template to customize";"Özelleştirmek için bir tema seçin"
"Choose your colors";"Renklerinizi seçin"
"Choose your country";"Ülkenizi seçin"
"Choose your design";"Tasarımınızı seçin"
"Choose your font style";"Yazı tipi stilini seçin"
"Choose your homepage image";"Ana sayfanız için resim seçin......<span class=""bold""><a href=""gsgsgsg"">Yardım</a></span>"
"Choose your icons color";"İkonlarınızın renklerini seçin"
"Choose your layout";"Ekran planınızı değiştirin"
"Choose your template";"Temanızı seçin"
"Click here to download the source code:";"Kaynak kodu indirmek için buraya tıklayın:"
"Click here to send your certificate";"Sertifikanızı göndermek için buraya tıklayın"
Colors;Renkler
"Dashboard icon";"Yönetim paneli ikonu"
Deactivated;Pasifleştirildi
"Delete this page?";"Bu sayfa silinsin mi?"
Design;Dizayn
"Developer Accounts";"Geliştirici Hesapları"
"Device Information";"Aygıt Bilgileri"
"Discount zone description. Here your clients will be able to see the details of each discount";"İndirim tanımı.Müşterileriniz burda indirim detaylarını görebilir."
Domain;Domain
"Domain name";"Domain name"
Download;İndir
"Download our app previewer";"App önizleyicimizi indir"
"Drop your certificate here";"Sertifikanızı buraya sürükleyin"
"Edit my";Düzenle
"Edit the application ""%s""";"""% s"" uygulamasını Düzenle "
Editor;Editör
Education;Eğitim
Entertainment;Eğlence
"Extension not allowed, '%s' only";"Uzatma mümkün değil, yanlızca '%s'"
Features;Özellikler
Finance;Finans
"Food & Drink";"Yiyecek & İçecek"
"Fred W.";NKT
Games;Oyunlar
"General Information";"Genel Bilgi"
"General information";"Genel Bilgi"
"Global visits";"Global ziyaretler"
"Google Play Icon";"Google Play Ikonu"
"Google's Information";"Google'ın Bilgisi"
"Health & Fitness";"Sağlık & Fitnes"
"Here is our latest creation. What do you think?";"Son kreasyonumuz,ne düşünüyorsunuz?"
"Homepage preview";"Anasayfa önizleme"
"I don't have a Google developer account and I want to create one";"Google geliştirici hesabım yok ve bir tane oluşturmak istiyorum"
"I don't have an Apple developer account and I want to create one";"Apple geliştirici hesabım yok ve bir tane oluşturmak istiyorum"
"I have an Apple developer account";"Apple geliştirici hesabım var"
"I have an Google developer account";"Google geliştirici hesabım var"
"I let you publish my application under your Apple developer account";"Uygulamamı Apple geliştiri hesabınız altında yayınlamanıza izin veriyorum"
"I let you publish my application under your Google developer account";"Uygulamamı Google geliştiri hesabınız altında yayınlamanıza izin veriyorum"
Icons;İkonlar
Id;Id
"If you validate, your app's colors and background image will be replaced";"Eğer doğrularsanız, uygulamanızın renkleri ve arka plan görüntüsü değişecek"
"Installed application";"Yüklenmiş uygulamalar"
"Key Password";"Anahtar şifre"
Keywords;"Anahtar Kelimeler"
"Last name:";Soyad:
"Library icons";"Kütüphane ikonları"
Lifestyle;"Yaşam Tarzı"
"List of my applications";"Uygulamalarımın listesi"
"List of your applications";"Uygulamalarının listesi"
Loading;Yükleniyor
"Lock the entire application";"Uygulamayı kilitleyin"
"Love it <3";Beğeni<3
Main;Ana
"Manage icons";"İkonları yönetin"
Media;Media
Medical;Tıbbi
"Missing Information";"Eksik bilgi"
"Mobile Source Codes";"Mobil Kaynak Kodları"
"Mobile source codes";"Mobil Kaynak Kodları"
"Mobile website information";"Mobil web sitesi bilgileri"
"My QRCode";QRKodum
"My application in figures";"Rakamlarla Benim uygulamam"
Navigation;Navigasyon
News;Haberler
"One free coffee";"Bir ücretsiz kahve"
"Or go on your store<br />and look for ""Apps Company Previewer""";"Ya da mağzanızda gidin <br />""Uygulamalar şirket önizleyicisi"" de arayın"
"Page name:";"Sayfa adı"
"Percentage of returning customers";"Geri dönen müşterilerin yüzdesi"
"Photo & Video";"Poto & Video"
"Please enter a correct URL for the %s store";"Lütfen %s mağzası için doğru URL'yi girin"
"Please enter a subdomain.";"Lütfen bir subdomain girin."
"Please enter a valid URL";"Lütfen geçerli bir URL girin"
"Please enter a valid address";"Lütfen geçerli bir adres girin"
"Please enter a valid mobile website address.";"Geçerli bir mobil web sitesi adresi girin."
Preview;Önizleme
Productivity;Üretkenlik
Promote;Destekle
Publication;Yayın
"Publish the application";"Uygulamayı yayınla"
"Publish under our account";"Hesabımız altında yayınla"
"Ready ? Publish my app!";"Hazır?Uygulamamı yayınla!"
"Recommanded size:";"Gerekli boyut:"
Reference;Referans
