"<b>File types:</b> %s<br /><b>Recommended size:</b> %s";"<b>Τύποι αρχείων: </b> %s<br /><b>Tamaño recomendado:</b> %s"
"Click here to send your favicon";"Προσθέστε εδώ το favicon σας"
"Click here to send your logo";"Προσθέστε εδώ το logo σας"
Communications;Επικοινωνία
"Current favicon";"Τρέχον favicon"
"Current logo";"Τρέχον logo"
"Display a link to your clients to your support platform";"Προβολή Συνδέσμου Τεχνικής Υποστήριξης στους χρήστες σας"
"Drop your favicon here";"Αφήστε το favicon σας εδώ"
"Drop your logo here";"Αφήστε το logo σας εδώ"
Sales;Πωλήσεις
"Sales Email Address";"E-mail Τμήματος Πωλήσεων"
"Sender's email address of the emails sent by the site to your clients";"E-mail αποστολέα για τα mails που αποστέλλονται στους χρήστες σας"
"Sender's name of the emails sent by the site to your clients";"Όνομα αποστολέα για τα mails που αποστέλλονται στους χρήστες σας"
"Support Email Address";"E-mail Τεχνικής Υποστήριξης"
"The folder /images/default is not writable.";"Ο φάκελος /images/default είναι μη-εγγράψιμος."
"Your Location";Τοποθεσία
"Your Platform";Πλατφόρμα
"Your company";Εταιρεία
