"%s Subscription for %s";"%s Suscripción para %s"
"<a href=""%s""><b>Click here</b></a> to go back to your applications list";"<a href=""%s""><b>Clic aquí</b></a> para ir atrás a la lista de sus aplicaciones"
"Active";"Activo"
"An error occurred while processing your order. Please, try again later.";"Ha ocurrido un error procesando su pedido. Por favor. Inténtelo más tarde."
"An error occurred while saving. Please try again later";"Ha ocurrido un error guardando los cambios. Por favor, inténtelo más tarde."
"An error occurred while saving. The selected subscription is not valid.";"Ha ocurrido un error guardando los cambios. La suscripción seleccionada no es vádlida."
"Are you sure you want to delete this plan?";"Está seguro de que desea eliminar este plan?"
"Billing Address";"Dirección de facturación"
"By checking this box, you agree <a id=""show_tos"" href=""javascript:void(0);"" target=""_blank"" class=""underline"">to our terms and conditions</a>";"Marcando esta casilla, usted Acepta todos <a id=""show_tos"" href=""javascript:void(0);"" target=""_blank"" class=""underline"">nuestros Términos y Condiciones</a>"
"Charged to your client every month";"Facturado a su cliente mensualmente"
"Charged to your client every year";"Facturado a su cliente anualmente"
"Charged to your client when placing the order";"Facturar a su cliente al realizar el pedido"
"Choose the subscription that suits you best:";"Seleccione la suscripción a la cual desea suscribirse:"
"Create a new subscription";"Crear una nueva suscripción"
"Creation";"Creación"
"Describe here this plan. Will be displayed on the front end";"Describir aquí este plan. Será visualizado en el frontend por sus clientes"
"Each price must be entered excluding tax";"Cada precio se debe introducir sin impuestos"
"Edit the subscription %s";"Editar la suscripción %s"
"Expiration";"Expiration"
"Expiration date";"Fecha de expiración/fin"
"Give a name to this plan. Will be displayed on the front end";"Dé un nombre a este plan. Será visualizado en el frontend por sus clientes"
"List of your plans";"Lista de los planes disponibles"
"List of your subscriptions";"Lista de sus suscripciones"
"None";"Ninguno"
"One-off";"Una sola vez"
"Order's details";"Detalle del pedido"
"Payment";"Pago"
"Payment Option";"Opción de pago"
"Payment secured by <img src=""%s"" width=""100"" title=""Paypal"" />";"Pago seguro con <img src=""%s"" width=""100"" title=""Paypal"" />"
"Please, enter a company";"Por favor, ingrese un nombre de compañía / empresa"
"Please, enter a country";"Por favor, ingrese un País"
"Please, enter a description.";"Por favor, ingrese una descripción."
"Please, enter a name.";"Por favor, ingrese un nombre."
"Please, enter an address";"Por favor, ingrese una dirección"
"Pricing";"Precio"
"Proceed to payment?";"Desea continuar con el pago ?"
"Recurring";"Recurrente / periódico"
"Setup Fee";"Cuota de Alta"
"Setup fee";"Cuota de Alta"
"Subscription";"Suscripción"
"Subscription successfully saved";"Suscripción guardada correctamente"
"Subtotal";"Subtotal"
"Thanks!";"Gracias!"
"The monthly price is not a valid price (e.g. 12.34)";"El precio mensual no es un precio válido (e.g. 12,34)"
"The setup fee is not a valid price (e.g. 12.34)";"La cuota de alta no es un precio válido (e.g. 12,34)"
"The yearly price is not a valid price (e.g. 12.34)";"Le prix annuel n'est pas un prix valide (e.g. 12,34)"
"This subscription is active";"La suscripción está activada"
"An error occurred while processing the payment. Para más información, please feel free to contact us.";"Se ha producido un error al procesar el pago. Para más información, por favor póngase en contacto con nosotros."
"VAT Number";"Número de IVA (VAT NUMBER)"
"You already have a subscription for this application";"Usted ya tiene una suscripción para esta aplicación"
"You don't have any subscriptions yet";"Usted no tiene ninguna suscripción todavía"
"You're almost done! After subscribing, we will publish your application on both the AppStore and the Google Play.";"Ya casi ha terminado! Después de efectuar el pago, activaremos su App y dispondrá de una cuenta funcional definitiva mientras mantenga la subscripción con nosotros."
"Your VAT Number is not valid";"Su número de IVA (VAT Number) no es válido"
"Your order has been canceled. If you need any help to place your order, please feel free to contact us.";"Su pedido ha sido cancelado. Si usted necesita ayuda para efectuar su pedido, por favor no dude en ponerse en contacto con nosotros."
"Your order has been successfully paid. Your application will be published very soon.";"Su pedido ha sido procesado con éxito. Su App será publicada en breve."
"Your subscription must have at least one price";"Su suscripción debe tener al menos un precio."
"price";"Precio"
