"Create a new field";"Crear un nuevo campo"
"Edit field %s";"Editar el campo %s"
"Field name:";"Nombre del campo:"
"Field name";"Nombre del campo"
"Choose a field type:";"Seleccione un tipo de campo:"
"You have to choose a field type.";"Tiene que elegir un tipo de campo."
"This field is required";"Este campo es obligatorio"
"Manage options:";"Administrar opciones:"
"Option";"Opción"
"Add an option";"Añadir una opción"
"Add a field";"Agregar un campo"
"Are you sure you want to remove this section?";"¿Está seguro que desea eliminar esta sección?"
"Are you sure you want to remove this field?";"¿Está seguro que desea eliminar este campo?"
"Recipient email:";"Email del destinatario:"
"Add a section";"Añadir una sección"
"Manage fields";"Gestionar los campos"
"We thank you for having filled out our form.";"Gracias por haber rellenado nuestro formulario."
"An error occurred while sending the form. Please, try again later.";"Se ha producido un error al enviar el formulario. Por favor inténtelo de nuevo más tarde."
"An error occurred while retrieving the user location";"Se ha producido un error al recuperar la posición del usuario"
"An error occurred while retrieving your location";"Se ha producido un error al recuperar su posición"
"You have refused to share your location";"No compartir Ubicación"
"An error occurred while saving. A field can't be identified.";"Se ha producido un error al guardar. Un campo no puede ser identificado."
"<strong>%s</strong> must be filled<br />";"<strong>%s</strong> debe ser rellenado <br />"
"<strong>%s</strong> must be a valid email address<br />";"<strong>%s</strong> debe ser un email válido <br />"
"<strong>%s</strong> must be a numerical value<br />";"<strong>%s</strong> debe ser un valor numérico <br />"
"<strong>%s</strong> must be a valid date<br />";"<strong>%s</strong> debe ser una fecha válida <br />"
"Your app's form";"Formulario de su aplicación"
"Number";"Número"
"Geolocation";"Geolocalización"
"Date/Hour";"Fecha / hora"
"Multiline text";"Texto Multilíneas"
"Checkbox";"Casilla de Verificación"
"Radio";"Radio"
"Drop down";"Lista desplegable"
;
"Your form has been filled out, here are the answers:";"Su formulario ha sido completado, esto es las respuestas:"
