"An error occurred while deleting this answer. Please try again later.";"没能抑制这种反应。请稍后再试。"
"Create a news:";"创建一个新闻："
"Hide this info";"隐藏此信息"
"Information successfully deleted";"信息成功删除"
"Information successfully hidden";"隐藏信息成功"
"Information successfully saved";"信息正确保存"
"Information successfully shown";"资料显示成功"
"Insert a";"插入"
"It will be visible only after validation by our team.";"只有验证通过我们的团队后，这将是可见的。"
"My customers answers";"我提供反馈"
"Publishing date";"出版一年"
"Show this info";"显示此信息"
"There is no comment for this news";"没有这个故事的评论"
"You can't like more than once the same news";"你不能给喜欢不止一次在相同新闻"
"Your like has been successfully added";"你喜欢已经成功添加"
"Your message has been successfully saved.";"您的留言已成功保存。"
