Description:;Descripción:
"Modify the event";"Modificar evento"
"Create a new event";"Crear un nuevo evento"
"Event title:";"Título del evento:"
"Beginning date:";"Fecha de inicio:"
"Ending date:";"Fecha de fin:"
Location:;Ubicación:
"Change picture";"Cambiar imagen"
"Add a picture";"Añadir una foto"
"RSVP URL:";"URL RSVP:"
Title:;Título:
"Enter your calendar's title";"Escriba el título de su calendario"
"Calendar's title";"El título del calendario"
"Your calendar is empty";"Su calendario está vacío"
Event;"Evento "
"Delete this event?";"¿Desea eliminar este evento?"
"Your Facebook page ID <span class=""required-entry"">*</span> :";"ID de su página Facebook <span class=""required-entry"">*</span> :"
"Your Facebook page ID";"ID de su página de Facebook:"
"Calendar's URL";"URL del Calendario"
"Send your pictures";"Envíe sus imágenes"
"Delete this calendar?";"¿Desea eliminar este calendario?"
"More events";"Más eventos"
"Event successfully saved";"Evento guardado correctamente"
"An error occurred while loading this event";"Se ha producido un error al cargar este evento"
"Event successfully deleted";"Evento eliminado correctamente"
"An error occurred while deleting the event";"Se ha producido un error al eliminar el evento"
"Calendar successfully deleted";"Calendario eliminado correctamente"
