"%d Unread Message";"％d 未读"
"%d Unread Messages";"％d 未读"
"Account";"帐户"
"Change the password";"更改密码"
"Click to mark as not read";"点击标记为未读"
"Click to mark as read";"点击标记为已读"
"Create a user";"创建用户"
"Edit the account ""%s""";"编辑帐户“％s”"
"Edit the user";"编辑用户"
"Enter your credentials:";"输入您的凭证："
"List of backoffice accounts";"后台帐户列表"
"List of the messages";"信息列表"
"Login to your backoffice interface";"输入您的后台界面"
"People who are allowed to access the backoffice";"谁有权的人来访问后台"
"Siberian CMS";"Siberian CMS"
"This account can't be deleted, it's the only one";"此帐户不能删除，是唯一"
"User successfully deleted";"用户成功删除"
"View Details";"查看详情"
"Your new password";"新密码"
"Your password";"您的密码"
