An error occurred while saving your contact informations.;Er is een fout opgetreden bij het opslaan van uw contact informatie.
An error occurred while sending your request. Please try again later.;Er is een fout opgetreden tijdens het versturen van uw aanvraag. Probeer het later opnieuw.
And his phone number:;En zijn telefoonnummer:
Are you sure you want to remove the picture?;Weet u zeker dat u wilt de afbeelding verwijderen?
City;Woonplaats
Contact information;Contact informatie
Here is his email:;Hier is zijn e-mail:
Here is his message:;Hier is zijn boodschap:
Please enter properly the following fields: <br />;Vul a.u.b. de volgende velden in: <br />
Twitter;Twitter
Website;Website
You have received a message from a contact:;Je hebt een bericht van een contact ontvangen:
Your email;Uw email
Your message has been sent;Uw bericht is verstuurd
Your request;Uw vraag
Zip code;Postcode
