All of your modules are up to date;Al uw modules zijn up to date
Click here to send your module;Klik hier om uw module te selecteren op uw pc
Drop your module here;Laat hier uw module vallen
"Installing module <em><span id=""label_module""></span></em>";"Installeert module <em><span id=""label_module""></span></em>"
Installing;Installeren
Installing your module;Installeert module
Module successfully installed;Module met succes geïnstalleerd
Module to upload;Modules klaar voor upload
Modules Installation;Module installatie
Modules successfully installed!;Module met succes geïnstalleerd!
No directory provided;Geen directory aangegeven
No module to install;Geen modules te installeren
No modules uploaded yet;Nog geen modules geüpload
Please wait, we're installing your module;Een ogenblik geduld we installeren de module
Please, enter a name;Vul een naam in
Please, fill out all fields;Vul alle velden in
Processing the installation;Verwerken van de installatie
Retry;Opnieuw
Select a module to upload;Selecteer een module om te uploaden
The database connection failed. Please, check the entered information.;De database verbinding mislukt. Alstublieft  controleer de ingevulde informatie. 
The entered password confirmation does not match the entered password.;Het bevestiging wachtwoord komt niet overeen met het eerst ingevulde wachtwoord.
The file %s does not exist;Het bestand %s bestaat niet
The folder %s is not writable. Please fix this issue and try again.;De map %s  is niet beschrijfbaar. Verhelp dit probleem en probeer het opnieuw. 
The folder %s is not writable.;De map %s  is niet beschrijfbaar. Verhelp dit probleem en probeer het opnieuw. 
The following folders are not writable: <br /> - %s;De volgende mappen zijn niet beschrijfbaar: <br /> - %s
"The installation of the module <span id=""installation_failed_module_name""></span> has failed: <span id=""installation_failed_because""></span>";"De installatie van de module <span id=""installation_failed_module_name""></span> is mislukt: <span id=""installation_failed_because""> </ span> "
This process may take few minutes, please do not refresh the page;Dit proces kan enkele minuten duren pagina niet vernieuwen
Unable to extract the archive.;Kan archief niet uit pakken
Unable to open the archive.;Kan archief niet openen
Unable to open the file. Please, make sure that you sent a valid archive.;Kan het bestand te openen. Zorg ervoor dat u een geldig archief (bestand) heeft gestuurd.
Upload a module;Upload een module
Upload your modules;Upload uw modules
