"%s - Customer Service";"%s - Zákaznický servis"
20.00%;20.00%
"Add a picture";"Přidat obrázek"
"Add options";"Přidat formát"
"Add to cart";"Přidat do košíku"
"An error occurred while proceeding the payment. Please, try again later.";"Při platbě došlo k chybě. Zkuste to prosím později"
"An error occurred while proceeding your order. Please, check the following information:";"Při objednávce došlo k chybě. Zkuste to prosím později"
"Are you sure you want to close without saving";"Opravdu chcete zavřít bez uložení?"
"Are you sure you want to delete this category and all its subcategories?";"Opravdu chcete smazat tuto kategorii a všechny její podkategorie?"
"Are you sure you want to delete this store?";"Opravdu chcete smazat tento obchod/sklad?"
"Are you sure you want to delete this tax?";"Opravdu chcete smazat tuto daň?"
"Are you sure you want to remove this product?";"Opravdu chcete smazat tento produkt?"
"At least one option is required:";"Je vyžadován alespoň jeden formát"
Cancelled;Zrušeno
"Carry Out";?Rozvoz?
Cart;Košík
Cash;Hotovost
Category;Kategorie
"Category successfully saved.";"Kategorie byla úspěšně uložena."
Check;Check
"Choose a delivery method:";"Vyberte si způsob doručení:"
"Choose a payment method:";"Vyberte si způsob platby:"
"Choose a store:";"Vyberte si obchod/sklad:"
Completed;Dokončeno
"Connected Printers";"Připojené tiskárny"
"Continue shopping";"Pokračovat v nákupu"
"Create a new options group";"Vytvořit novou skupinu formátů"
"Create a new product";"Vytvořit nový produkt"
"Create a new tax";"Vytvořit novou daň"
"Create a store";"Vytvořit obchod/sklad"
"Credit Card by phone";"?Credit Card by phone?"
"Credit card (pay upon pickup or delivery)";"Kreditní karta (platba při vyzvednutí nebo dodání)"
Customer;Zákazník
"Customer Service";"Zákaznický servis"
Delivery;Doručení
"Delivery Fees";"Poplatky za doručení"
"Delivery Method";"Způsob doručení"
"Delivery area";"Oblast pro doručení"
"Delivery fees";"Poplatky za doručení"
"Delivery fees:";"Poplatky za doručení:"
"Delivery methods";"Způsob doručení"
"Delivery methods:";"Způsob doručení:"
"Delivery radius";"Okruh doručení"
"Delivery radius:";"Okruh doručení:"
"Delivery time";"Dodací lhůta"
"Delivery time:";"Dodací lhůta:"
Details;Podrobnosti
"Edit a store";"Upravit obchod/sklad"
"Edit the options group %s";"Upravit skupinu formátů %s"
"Edit the product %s";"Upravit produkt %s"
"Edit the tax %s";"Upravit daň %s"
"Free delivery starting from";"Doprava zdarma od"
"Free delivery starting from:";"Doprava zdarma od:"
"Here is the detail of the order";"Zde je detail objednávky"
"Here is the detail of your order";"Zde je detail Vaší objednávky"
