"My informations";"Mis informaciones"
"Change my password";"Cambiar mi contraseña"
"Current password";"Contraseña actual"
"Confirm new password";"Confirmar nueva contraseña"
"Required fields";"Campos necesarios"
"Enter your credentials:";"Ingrese su cuenta :"
"Forgot your password? Don't worry! Simply enter your email address and we'll send you a new one right now.";"¿Ha olvidado su contraseña? No se preocupe, introduzca su dirección de correo electrónico y le reenviaremos una directamente."
"Forgot your password ?";"¿Olvidó tu contraseña?"
"Log in";"Iniciar sesión"
Send;enviar
"Login to your admin interface";"Conexión a su panel de administración"
"Your email address";"Su dirección de correo electrónico"
"Your password";"Su contraseña"
Notifications;Notificaciones
"My notifications list";"Mi lista de notificaciones"
Details;Detalles
"Mark as unread";"Marcar como no leído"
"Mark as read";"Marcar como leído"
"An error occurred while saving your account. Please try again later.";"Se ha producido un error al guardar la cuenta. Por favor inténtelo de nuevo más tarde."
"Your account has been successfully saved";"Su cuenta ha sido guardada con éxito"
"Login to your admin interface";"Conexión a su panel de administración"
"My account";"Mi cuenta"
"My notifications";"Mis notificaciones"
