"%s – Your new password";"％s - 您的新密码"
"A request to reset your password has been made to log in to your administration panel.";"请求重置您的密码已登录到你的管理面板。"
"Admin successfully deleted";"管理员删除成功"
"An error occurred while saving. The country is not valid.";"同时节省发生错误。该国是无效的。"
"Are you sure you want to delete this application?";"你确定你要删除这个应用程序？"
"Change my password";"修改我的密码"
"Confirm your password";"确认密码"
"Create a new application";"创建一个新的应用程序"
"Create a new user";"创建一个新用户"
"Created At";"在创建"
"Created at %s";"创建％s的"
"Do not hesitate to give us your feedback by sharing your needs:";"不要犹豫，分享您的需求给我们您的反馈意见："
"Edit the account ""%s”";"编辑帐户“％s”"
"Edit the user %s";"编辑％s用户"
"Enjoy!";"享受！"
"Find some advices here:";"找到一些建议在这里："
"Here are your credentials, keep them preciously:";"这里有您的凭据，让他们珍贵："
"List of admin accounts";"的管理员帐户列表"
"List of my accounts";"我的帐户列表"
"List of your users";"你的用户列表"
"Log-in As";"登录在作为"
"My Applications";"我的应用"
"My information";"我的信息"
"Need some help?";"需要一些帮助？"
"Please enter a valid email address.";"请输入有效的电子邮件地址。"
"Please, enter an application name";"请输入一个应用程序名称"
"Ready to create your own apps?";"准备创建自己的应用程序？"
"Sign up";"报名"
"Thanks for choosing us!";"感谢您选择我们！"
"The Support Team";"支持团队"
"The password and the confirmation does not match.";"密码并确认不匹配。"
"The password must be at least 6 characters.";"密码必须至少6个字符。"
"We are sorry but this email address is already used.";"很抱歉，这个电子邮件地址已经被使用。"
"Welcome!";"欢迎！"
"You are going to love it! Thanks to our effective features, you will be able to create great mobile apps in your name, within minutes.";"你会爱上它！由于我们有效的功能，你就可以在你的名字创造伟大的移动应用程序，在几分钟之内。"
"You can't delete the main account";"您不能删除主帐户"
"You don't have any users yet";"你没有任何的用户还"
"Your credentials";"您的凭据"
"Your login:";"您登录："
"Your password:";"密码："
