"An error occurred while deleting the event";"Παρουσιάστηκε σφάλμα κατά τη διαγραφή της εκδήλωσης"
"An error occurred while loading this event";"Παρουσιάστηκε σφάλμα κατά τη φόρτωση αυτής της εκδήλωσης"
"Beginning date:";"Ημ/νία έναρξης:"
"Calendar successfully deleted";"Το ημερολόγια αποθηκεύτηκε επιτυχώς"
"Calendar's URL";"Σύνδεσμος ημοερολογίου"
"Calendar's title";"Τίτλος ημερολογίου"
"Change picture";"Αλλαγή εικόνας"
"Create a new event";"Δημιουργία νέου event"
"Custom Page";"Προσαρμοσμένη σελίδα"
"Delete this calendar?";"Διαγραφή αυτού του ημερολογίου?"
"Delete this event?";"Διαγραφή αυτής της εκδήλωσης?"
"Ending date:";"Ημ/νία λήξης:"
"Enter your calendar's title";"Συμπληρώστε τον τίτλο του ημερολογίου σας"
"Event";"Εκδήλωση"
"Event successfully deleted";"Το event διεγράφη επιτυχώς"
"Event successfully saved";"Το event αποθηκεύτηκε επιτυχώς"
"Event title:";"Τίτλος Εκδήλωσης:"
"Illustration";"Εικόνα"
"Max size: 2000x2000px - allowed formats: jpg & png";"Μέγιστο μέγεθος: 2000x2000px - επιτρέπoνται μορφές: jpg png &"
"Modify the event";"Τροποποιήστε την εκδήλωση"
"RSVP";"RSVP"
"RSVP URL:";"Σύνδεσμος RSVP:"
"Your Facebook page ID";"Η ταυτότητα τoυ Προσωποβιβλίου σας χαχαχαχαχαχαχαχαχαχαχα"
"Your Facebook page ID <span class=""required-entry"">*</span> :";"Η ταυτότητα της Facebook σελίδας σας <span class = ""απαιτείται-είσοδος""> * </ span>:"
"Your calendar is empty";"Το ημερολόγιο σας είναι άδειο"
"iCal";"iCal"
