"%d Unread Messages";"％d 更多的未读消息"
"404, page not found";"404找不到网页"
"APIs";"API"
"Access restricted to authorized members only";"只有授权的用户访问受限制"
"Accounts";"帐户"
"Action";"行动"
"Actions";"行动"
"Add";"添加在"
"Add a";"添加/个"
"Add<br /><span class=""bold"">Pictures</span>";"添加<br /><span class=""bold"">图片</span>"
"Add an <br /><span class=""bold"">image</span>";"添加<br /><span class=""bold"">图片</span>"
"Address";"街道地址"
"All items";"所有项目"
"An error occurred during process. Please try again later.";"在处理过程中发生了错误。请稍后再试。"
"An error occurred during the process. Please try again later.";"有在此过程中的错误。请稍后再试。"
"An error occurred while loading. Please try again later.";"有一个错误加载。请稍后再试。"
"An error occurred while loading. Please, try again later.";"有一个错误加载。请稍后再试。"
"An error occurred while saving";"有错误节能"
"An error occurred while saving your account. Please try again later.";"有一个错误节省你自己。请稍后再试。"
"An error occurred while saving your picture. Please try againg later.";"发生错误保存图像。请重试。"
"An error occurred while saving. Please try again later.";"有一个错误的节省。请稍后再试。"
"An error occurred while saving. Please, try again later.";"有一个错误的节省。请稍后再试。"
"An error occurred while uploading your file. Please, try again later.";"有错误上传文件。请稍后再试。"
"Appearance";"出现"
"Application";"应用"
"Application Name";"应用程序名称"
"Applications";"应用"
"Are you sure you want to delete this element?";"你确定你要删除这个项目吗？"
"Are you sure you want to use this discount?";"你确定要使用这个折扣？"
"Are you sure you want to remove this account?";"你确定要删除此帐户？"
"Authentication failed. Please check your email and/or your password";"验证失败。请检查您的电子邮件和/或密码"
"Back";"回来"
"Browse";"探索"
"Can only be used once";"它只能使用一次"
"Cancel";"取消"
"Cart";"购物车"
"Catalog";"目录"
"Category";"类别"
"Change password";"更改密码"
"City";"城市"
"City:";"城市："
"Close";"关闭"
"close";"关闭"
"Comment";"评论"
"Comments";"点评"
"Communication";"沟通"
"Company";"业务"
"Coms";"COMS"
"Conditions";"条款"
"Confirm Password";"确认密码"
"Confirm new password";"确认新密码"
"Country";"国家"
"Country:";"国家："
"Create";"创建"
"Create an account";"创建一个帐户"
"Create a new account";"创建新帐号"
"Created at";"创建于"
"Created at:";"创建于："
"Currency";"货币"
"Current password";"当前密码"
"Dashboard";"控制面板"
"Date of birth";"出生日期"
"Date of birth:";"出生日期："
"Date";"日期"
"day";"天"
"days";"天"
"Default Languages";"默认语言"
"Delete";"删除"
"Delivery";"交货"
"Description";"描述"
"Description:";"说明："
"Details";"详细信息"
"Edit";"编辑"
"Editing";"版"
"Email";"电子邮件"
"Email address";"电子邮件地址"
"Email:";"电子邮件："
"End at";"在结果"
"Error : <br/>";"错误: <br>"
"Errors : <br/>";"错误: <br>"
"Export your customers";"导出你的客户"
"Extension not allowed, '%s' only";"该扩展是不允许的， '％s' 的唯一"
"Facebook";"Facebook的"
"First name:";"姓名："
"First name";"名字"
"Firstname";"名字"
"Firstname:";"姓名："
"Forgot your password?";"忘记密码了吗？"
