"All of your modules are up to date";"Todos los módulos están al día"
"Click here to send your module";"Haga clic aquí para enviar su módulo"
"Drop your module here";"Deje su módulo de aquí"
"Installing module <em><span id=""label_module""></span></em>";"Instalando el módulo <em><span id=""label_module""></span></em>"
"Installing";"Instalando"
"Installing your module";"Instalando tu módulo"
"Module successfully installed";"Módulo instalado con éxito"
"Module to upload";"Módulo para cargar"
"Modules Installation";"Módulos de instalación"
"Modules successfully installed!";"Módulos instalado con éxito!"
"No directory provided";"No directorio proporcionado"
"No module to install";"No hay módulo para instalar"
"No modules uploaded yet";"No hay módulos subidos aún"
"Please wait, we're installing your module";"Por favor espere, estamos instalando su módulo"
"Please, enter a name";"Por favor, introduzca un nombre"
"Please, fill out all fields";"Por favor, rellene todos los campos"
"Processing the installation";"Procesamiento de la instalación"
"Retry";"Vuelva a intentarlo"
"Select a module to upload";"Seleccione un módulo para cargar"
"The database connection failed. Please, check the entered information.";"La conexión de base de datos falló. Por favor, verifique la información introducida."
"The entered password confirmation does not match the entered password.";"La confirmación de la contraseña introducida no coincide con la contraseña introducida."
"The file %s does not exist";"El archivo %s no existe"
"The folder %s is not writable. Please fix this issue and try again.";"La carpeta %s no se puede escribir. Por favor, corrija este problema y vuelva a intentarlo."
"The folder %s is not writable.";"La carpeta %s no se puede escribir."
"The following folders are not writable: <br /> - %s";"Las siguientes carpetas no se pueden escribir: <br /> -%s"
"The installation of the module <span id=""installation_failed_module_name""></span> has failed: <span id=""installation_failed_because""></span>";"La instalación del módulo <span id=""installation_failed_module_name""></span> ha fallado: <span id=""installation_failed_because""></span>"
"This process may take few minutes, please do not refresh the page";"Este proceso puede tardar unos minutos, por favor no actualice la página"
"Unable to extract the archive.";"No se puede extraer el archivo."
"Unable to open the archive.";"No se puede abrir el archivo."
"Upload a module";"Sube un módulo"
"Upload your modules";"Sube tus módulos"
