Cancelled;Geannuleerd
%s - Customer Service;%s - Klantenservice
20.00%;20.00%
Add a picture;Voeg een afbeelding toe
Add options;Opties toe te voegen
An error occurred while proceeding the payment. Please, try again later.;Er is een fout opgetreden bij het betalen. Probeer het later opnieuw.
An error occurred while proceeding your order. Please, check the following information:;Er is een fout opgetreden bij het bestellen. Controleer de volgende gegegevens:
Are you sure you want to close without saving;Weet u zeker dat u wilt sluiten zonder op te bewaren
Are you sure you want to delete this category and all its subcategories?;Weet u zeker dat u deze categorie en alle subcategorieën wilt verwijderen?
Are you sure you want to delete this store?;Weet u zeker dat u deze winkel wilt verwijderen?
Are you sure you want to delete this store?;Weet u zeker dat u deze winkel wilt verwijderen?
Are you sure you want to delete this tax?;Weett u zeker dat u deze belasting wilt verwijderen?
Are you sure you want to remove this product?;Weett u zeker dat u dit product wilt verwijderen?
At least one option is required:;Ten minste één optie is vereist:
Carry Out;Uitvoeren
Cart;Winkelwagen
Cash;Contant
Category;Categorie
Category successfully saved.;Categorie succesvol opgeslagen.
Check;
Choose a delivery method:;Kies een levering methode:
Choose a payment method:;Kies een betaalmethode:
Choose a store:;Kies een winkel:
Completed;Voltooid
Connected Printers;Aangesloten printers
Continue shopping;Verder met winkelen
Create a new options group;Maak een nieuwe keuze groep
Create a new product;Maak een nieuw product
Create a new tax;Maak een nieuwe belasting
Create a store;Maak een winkel
Credit card (pay upon pickup or delivery);Creditcard (betalen bij afhalen of afleveren)
Credit Card by phone;Credit Card via de telefoon
Customer;Klant
Customer;Klant
Customer Service;Klantenservice
Delivery;Levering
Delivery;Levering
Delivery area;Leveringsgebied
Delivery fees;Verzendingskosten
Delivery fees;Verzendingskosten
Delivery fees;Verzendingskosten
Delivery Fees;Verzendingskosten
Delivery fees:;Verzendingskosten:
Delivery Method;Levering Wijze
Delivery methods;Wijze van levering
Delivery methods:;Levering methoden:
Delivery radius;Levering straal
Delivery radius:;Levering straal:
Delivery time;Levertijd
Delivery time;Levertijd
Delivery time:;Levertijd:
Details;Details
e.g., Sauces;bijv, Sauzen
Edit a store;Bewerk een winkel
Edit the options group %s;Bewerk de opties groep %s
Edit the product %s;Bewerk het product %s
Edit the tax %s;Bewerk de belasting % s
Free delivery starting from;Gratis levering vanaf
Free delivery starting from:;Gratis levering vanaf:
Here is the detail of the order;Hier zijn de details van de bestelling
Here is the detail of your order;Hier zijn de details van je bestelling
Hours of operation;Openingstijden
Hours of operation:;Openingstijden:
In store;Op voorraad
Meal Voucher;Maaltijdcheque
Minimum order;Minimum order
Minimum order:;Minimum order:
My Cart;Mijn winkelwagen
My cart is empty;Mijn winkelwagen is leeg
My categories;Mijn categorieën
My information;Mijn gegevens
My orders;Mijn bestellingen
My product's categories;Mijn product categorieën
My product's options;Mijn product opties
My products;Mijn producten
My stores;Mijn winkels
My taxes;Mijn belastingen
Name of the options group:;Naam opties groep
New order from the application;Nieuwe order van de App
Number;Nummer
Option name;Opties naam
Option name:;Opties naam:
Options group successfully deleted;Groep opties succesvol verwijderd
Options group successfully saved;Groep opties succesvol bewaard
Order confirmation;Bestel bevestiging
Order details;Bestel details
Order Number;Bestelnummer
Order successfully saved;Bestelling bewaart
Orders;Bestellingen
Paid;Betaald
Password;Wachtwoord
Password:;Wachtwoord:
Payment;Betaling
Payment Method;Betalingsmethode
Payment methods:;Betaalmethoden:
Paypal;Paypal
Pending payment;In afwachting van betaling
Picture;Afbeelding
Please choose a delivery method;Kies een levering methode
Please choose a payment method;Kies een betaalmethode
Please, enter an email address for the store %s;Vul een e-mailadres voor de winkel %s
Price;Prijs
Price: %s;Prijs: %s
Printer successfully saved;Printer succesvol opgeslagen
Proceed;Verdergaan
Product;Product
Product;Product
Product name;Productnaam
Product name:;Productnaam:
Product successfully saved;Product succesvol opgeslagen
Qty;Aantal
Qty;Aantal
Qty: %s;Aantal: %s
Radius in Km;Radius in Km
Review;Recensie
Settings;Instellingen
Signature;Handtekening
Signature:;Handtekening:
Status;Status
Store information;Winkelgegevens
Store name;Naam van de winkel
Store name:;Naam winkel:
Store successfully deleted;Winkel succesvol verwijderd
Store successfully saved;Winkel succesvol opgeslagen
Stores;Winkels
Subtotal;Subtotaal
Subtotal;Subtotaal
Tax;belasting
Tax;belasting
Tax name;Belasting naam
Tax name:;Belasting naam:
Tax rate;Belastingtarief
Tax rate:;Belastingtarief:
Tax successfully deleted;Belasting succesvol verwijderd
Tax successfully saved;Belasting succesvol opgeslagen
Tax:;BTW:
Thank you!;Dankjewel!
The delivery method;Levering Wijze
The following options are required:<br />%s;De volgende opties zijn verplicht: <br />% s
The option %s is required;Deze optie is %s verplicht
The payment has been cancelled, something wrong happened? Feel free to contact us;De betaling is geannuleerd, er iets mis is er gebeurd? Voel je vrij om ons te contacteren
The payment method;De betaalmethode
Time in minutes;Tijd in minuten
Total;Totaal
Total;Totaal
Total;Totaal
Total Excl. Tax;Totaal Excl. BTW
Total Excl. Tax;Totaal Excl. BTW
Total Tax;Total inclusief BTW
Total: %s;Totaal: %s
Unit price;Stukprijs
Unit Price;Prijs per stuk
Username;Gebruikersnaam
Username:;Gebruikersnaam:
We apologize but the payment method %s is currently not available;Onze excuses maar de betaalmethode %s is momenteel niet beschikbaar
We thank you for your order. A confirmation email has been sent;Dank u voor uw bestelling. Een bevestigingsmail is verstuurd
You don't have any categories yet;U heeft nog geen categorieën
You have a connected printer? Enter the email address;Je hebt een aangesloten printer? Vul het e-mailadres in
You have a connected printer? Enter the email address for each store;Je hebt een aangesloten printer? Vul het e-mailadres voor iedere winkel in
Your address;Uw adres
Your email address;Uw e-mail adres
Your firstname;Uw voornaam
Your lastname;Uw achternaam
Your phone number;Uw telefoonnummer
