"<b>File types:</b> %s<br /><b>Recommended size:</b> %s";"<b>Dateitypen:</b> %s < Br / > <b>Größe empfohlen:</b> %s"
"Click here to send your favicon";"Klicken Sie hier, um Ihr Favicon zu senden"
"Click here to send your logo";"Klicken Sie hier, um Ihr Logo senden"
Communications;Kommunikation
"Current favicon";"Aktuelle favicon"
"Current logo";"Aktuelle logo"
"Display a link to your clients to your support platform";"Zeigt einen Link an Ihre Kunden an Ihre Support-Plattform"
"Drop your favicon here";"Ihr Favicon hierher ziehen"
"Drop your logo here";"Ihr Logo hier ablegen"
Sales;Vertrieb
"Sales Email Address";"Verkauf E-Mail-Adresse"
"Sender's email address of the emails sent by the site to your clients";"E-Mail-Adresse des Absenders der e-Mails, die von der Site an Ihre Kunden"
"Sender's name of the emails sent by the site to your clients";"Name des Absenders der e-Mails, die von der Site an Ihre Kunden"
"Support Email Address";Support-Email-Adresse
"The folder /images/default is not writable.";"Die Ordner-/images/default ist nicht schreibbar."
"Your Location";"Ihren Standort"
"Your Platform";"Ihre Plattform"
"Your company";"Ihr Unternehmen"
