.mp4 or .3gp format;.mp4 or .3gp formato
Add ;Adicionar
Add sections:;Adicionar seções:
Address:;Endereço:
Alignment:;Alinhamento:
An error occurred while saving your page.;Ocorreu um erro ao salvar a sua página.
Are you sure you want to delete this page?;Tem certeza de que deseja deltar esta página?
Display address;Exibir endereço
Display location button;Exibir botão de localização
Label;Etiqueta
Label:;Etiqueta:
Large;Grande
Loading picture:;Carregando imagem:
Make a search or enter the Youtube Url:;Faça uma busca ou entre na URL do Youtube:
Medium;Médio
My Youtube video:;Meu vídeo Youtube:
My video;Meu vídeo
No videos matching your selection;Não há nenhum vídeo que corresponda à sua seleção
Page successfully deleted;Página excluída com sucesso
Page successfully saved;Página salva com sucesso
Podcast URL:;Podcast URL:
Select a video type:;Escolha um dos tipos de vídeo:
Small;Pequeno
Video URL:;Vídeo URL:
Your Podcast:;Seu Podcast:
