.mp4 or .3gp format;.mp4 or .3gp formaat
Add ;Toevoegen
Add sections:;Secties toe te voegen:
Address:;Adres 
Alignment:;Uitlijnen:
An error occurred while saving your page.;Er is een fout opgetreden bij het opslaan van uw pagina.
Are you sure you want to delete this page?;Weet u zeker dat u deze pagina wild verwijderen
Display address;Toon adres
Display location button;Toon locatie knop
Label;Label
Label:;Label:
Large;Groot
Loading picture:;Afbeelding laden
Make a search or enter the Youtube Url:;Maak een zoekopdracht of voeg een Youtube Url in:
Medium;Middel
My Youtube video:;Mijn Youtube video:
My video;Mijn video
No videos matching your selection;Geen video's die voldoen aan uw selectie
Page successfully deleted;Pagina succesvol verwijderd
Page successfully saved;Pagina succesvol opgeslagen
Podcast URL:;Podcast URL:
Select a video type:;Selecteer een video-type:
Small;Klein
Video URL:;Video URL:
Your Podcast:;Uw Podcast:
