"An error occurred while saving your contact informations.";"有一个错误节省您的联系信息。"
"An error occurred while sending your request. Please try again later.";"有一个错误发送您的请求。请稍后再试。"
"And his phone number:";"和您的电话号码："
"Are you sure you want to remove the picture?";"你确定要删除的图像？"
"City";"城市"
"Contact information";"联系信息"
"Here is his email:";"您的电子邮件："
"Here is his message:";"您的留言："
"Please enter properly the following fields: <br />";"请正确输入以下字段：<br />"
"Twitter";"叽叽喳喳"
"Website";"现场"
"You have received a message from a contact:";"您收到联系人的信息："
"Your email";"你的电子邮件"
"Your message has been sent";"您的留言已发送"
"Your request";"您的要求"
"Zip code";"邮政编码"
