"Create a new language";"Přidejte nový jazyk"
"Default text";"Výchozí text"
"Edit the language: %s";"Upravte jazyk: %s"
Language;Jazyk
"Language successfully saved";"Jazyk úspěšně uložen"
"List of your languages";"Seznam jazyků"
"Please, choose a file.";"Prosím, vyberte soubor"
"Please, choose a language.";"Prosím, vyberte jazyk"
"Select a file";"Vyberte soubor"
"Select a language";"Vyberte si jazyk"
"Text translation";"Překlad textu"
Translations;Překlady
"Your translation";"Váš překlad"
"﻿Create a new language";"Přidejte nový jazyk"
