"%s - Account creation";"%s - Vytvoření účtu"
"%s - Your new password";"%s - Vaše nové heslo"
"A request to reset your password has been made.";"Žádost o resetování hesla byla provedena."
"An error occurred while connecting to your Facebook account. Please try again later";"Při připojování k Vašemu účtu na Facebooku došlo k chybě. Zkuste to prosím později"
"Are you sure you want to remove this user?";"Jste si jisti, že chcete odstranit tohoto uživatele?"
"Change Password";"Změnit heslo"
Congratulations,;Gratulujeme,
Create;vytvořit
"Create a new user";"Vytvoření nového uživatele"
"Create an account";"Vytvořit účet"
Customer;Zákazník
Customers;Zákazníci
Disconnect;Odhlásit
"Edit the user %s";"Upravit uživatele %s"
"First name";"Křestní jméno"
"Forgot your password?";"Zapomněli jste heslo?"
Gender;Oslovení
"Here are your credentials:";"Zde jsou Vaše přihlašovací údaje<br/>"
"I accept the <u>privacy policy</u>";"Přijímám podmínky <u>Ochrany osobních údajů</u>"
"If you encounter any problems, do not hesitate to contact us:";"Pokud narazíte na nějaké problémy, neváhejte nás kontaktovat:"
"Last name";Příjmení
Login:;"Přihlašovací email:"
Miss;Slečna
Mr;Pan
Mrs;Paní
"My Account";"Můj účet"
"My application's users";"Uživatelé mojí aplikace"
"Old Password";"Staré heslo"
"Or with your account";"Nebo pomocí Vašeho účtu"
"Please enter your email address. We'll send you your password right now.";"Prosím, zadejte svou e-mailovou adresu. Zašleme Vám nové heslo"
"Please log in with your mobile phone";"Prosím, přihlaste se pomocí svého mobilního telefonu"
"Privacy Policy";"Ochrana osobních údajů"
"See you soon,";"S pozdravem,"
"Show me in ranking";"Ukázat v žebříčku"
"The old email address does not match the entered email address.";"Původní e-mailová adresa neodpovídá zadané e-mailové adrese"
"This user can access the pages locked by the ""Locker"" feature";"Tento uživatel má přístup na stránky zamčené pomocí funkce ""Zámek"""
"This user is visible in ranking";"Tento uživatel je viditelný v žebříčku"
User;Uživatel
"User Information";"Informace o uživateli"
Users;Uživatelé
"We are sorry but the %s account is already linked to one of our customers";"Je nám líto, ale %s účet je již spojen s jedním z našich zákazníků"
"You have created your account. With this account, you will be able to enjoy great offers available in our application.";"Váš účet byl úspěšne vytvořen. S tímto účtem můžete začít využívat spoustu užitečných nabídek a funkcí v aplikaci"
"Your account has been successfully saved";"Váš účet byl úspěšně uložen"
"﻿%s - Account creation";"%s - Vytvoření účtu"
