%s - Account creation;%s - Criação de Conta
%s - Your new password;%s - Sua nova senha
A request to reset your password has been made.;A solicitação para redefinir sua senha foi feita.
An error occurred while connecting to your Facebook account. Please try again later;Ocorreu um erro ao se conectar à sua conta do Facebook. Por favor, tente novamente mais tarde
Are you sure you want to remove this user?;Tem certeza de que deseja remover este usuário?
Change Password;Alterar Senha
Congratulations,;Parabéns,
Create;Criar
Create a new user;Criar um novo usuário
Create an account;Criar uma conta
Customer;Cliente
Customers;Clientes
Disconnect;Desconectar
Edit the user %s;Editar o usuário %s
First name;Nome
Forgot your password?;Esqueceu sua senha?
Gender;Gênero
Here are your credentials:;Aqui estão as suas credenciais:
I accept the <u>privacy policy</u>;Eu aceito a <u>política de privacidade</u>
If you encounter any problems, do not hesitate to contact us:;Se você encontrar algum problema, não hesite em contactar-nos:
Last name;Sobrenome
Login:;Login:
Miss;Senhorita
Mr;Senhor
Mrs;Senhora
My Account;Minha Conta
My application's users;Usuários do meu aplicativo
Old Password;Senha Antiga
Or with your account;Ou com a sua conta
Please enter your email address. We'll send you your password right now.;Digite seu endereço de e-mail. Vamos enviar-lhe sua senha agora.
Please log in with your mobile phone;Por favor, faça o login com o seu celular
Privacy Policy;Política de Privacidade
See you soon,;Te vejo em breve,
Show me in ranking;Mostre-me no ranking
The old email address does not match the entered email address.;O endereço de e-mail antigo não corresponde ao endereço de e-mail inserido.
"This user can access the pages locked by the ""Locker"" feature";"Este usuário pode acessar as páginas bloqueadas pelo recurso ""Cadeado"""
This user is visible in ranking;Este usuário é visível no ranking
User;Usuário
Users;Usuários
User Information;Informação Usuário
We are sorry but the %s account is already linked to one of our customers;Lamentamos, mas a %s conta já pertence a um dos nossos clientes
You have created your account. With this account, you will be able to enjoy great offers available in our application.;Você criou sua conta. Com esta conta, você será capaz de desfrutar de grandes ofertas disponíveis em nossa aplicativo.
Your account has been successfully saved;Sua conta foi criada com sucesso
