"%s - All";"%s - Όλα"
"%s – All";"%s – Όλα"
"Add a category";"Προσθήκη κατηγορίας"
"Add a format";"Προσθήκη επιλογής"
"All";"Όλα"
"An error occurred while loading your product.";"Υπηρξε σφάλμα κατά την φόρτωση του προϊόντος σας."
"An error occurred while saving the category. Please try again later.";"Υπηρξε σφάλμα κατά την αποθήκευση της κατηγορίας. Παρακαλώ δοκιμάστε ξανά αργότερα."
"An error occurred while saving the product. Please try again later.";"Υπηρξε σφάλμα κατά την αποθήκευση του προϊόντος. Παρακαλώ δοκιμάστε ξανά αργότερα."
"An error occurred while saving the set meal. Please try again later.";"Υπηρξε σφάλμα κατά την αποθήκευση του γεύματος. Παρακαλώ δοκιμάστε ξανά αργότερα."
"An error occurred while saving. One of your categories could not be identified.";"Υπηρξε σφάλμα κατά την αποθήκευση. Μία από τις κατηγορίες σας δεν ήταν εφικτό να αναγνωριστεί."
"An error occurred while saving. One of your products could not be identified.";"Υπηρξε σφάλμα κατά την αποθήκευση. Ένα από τα προϊόντα σας δεν ήταν εφικτό να αναγνωριστεί."
"Are you sure you want to delete this product?";"Είστε σίγουροι ότι θέλετε να διαγράψετε αυτό το προϊόν?"
"Category";"Κατηγορία"
"Choose a category";"Επιλογή κατηγορίας"
"Choose a subcategory";"Επιλογή υποκατηγορίας"
"Click on a category to display sub-categories";"Κάντε κλικ σε μια κατηγορία για να εμφανιστούν οι υποκατηγορίες"
"Create a new product";"Δημιουργήστε ένα νέο προϊόν"
"Does this product have many formats?";"Μήπως αυτό το προϊόν έχει και άλλες επιλογές?"
"Edit the";"Επεξεργασία"
"Edit the product";"Επεξεργασία προϊόντος"
"Format";"Επιλογή"
"Picture";"Εικόνα"
"Price";"Τιμή"
"Product";"Προϊόν"
"Product formats";"Επιλογές προϊόντος"
"Product name";"Όνομα προϊόντος"
"Rules";"Κανόνες"
"Set meal successfully deleted.";"Το γεύμα διεγράφη επιτυχώς."
"Set meal successfully saved.";"Το γεύμα αποθηκεύτηκε επιτυχώς."
"Sub-category";"Υποκατηγορία"
"st";"ο"
"sub-category";"υποκατηγορία"
