<b>File types:</b> %s<br /><b>Recommended size:</b> %s;<b>Dosya çeşidi:</b> %s<br /><b>Grekli alan:</b> %s
Click here to send your favicon;Favicon göndermek için buraya tıklayın
Click here to send your logo;Logonuzu göndermek için buraya tıklayın
Communications;İletişim
Current favicon;Güncel favicon
Current logo;Güncel logos
Display a link to your clients to your support platform;Destek platformu için müşterilerine bir bağlantı görüntüler
Drop your favicon here;Buraya favicon bırakın
Drop your logo here;Buraya logo bırakın
Sales;Satışlar
Sales Email Address;Satış E-posta Adresi
Sender's email address of the emails sent by the site to your clients;Müşterilerinize site tarafından gönderilen e-postaların Gönderenin e-posta adresi
Sender's name of the emails sent by the site to your clients;Müşterilerinize site tarafından gönderilen e-postaların Gönderenin ismi
Support Email Address;Destek E-posta Adresi
The folder /images/default is not writable.;Klasör / resimler / varsayılan yazılabilir değil.
Your Location;Lokasyonunuz
Your Platform;Platformunuz
Your company;Şirketiniz
