Add a link;Adicione um link
An error occurred while saving your picto. Please try againg later.;Ocorreu um erro ao salvar sua imagem. Por favor tente mais tarde.
Are you sure you want to delete this link?;Tem certeza de que deseja excluir este link?
Are you sure you want to delete this picture?;Tem certeza de que deseja apagar esta imagem?
Link;Link
Link has been successfully deleted;O link foi excluído com sucesso
Link has been successfully saved;O link foi salvo com sucesso
Link:;Link:
Picto;Imagem
The image has been successfully deleted;A imagem foi excluída com sucesso
The image has been successfully saved;A imagem foi salva com sucesso
Your links;Seus links
