"%d Unread Message";"%d Ongelezen bericht"
"%d Unread Messages";"%d ongelezen berichten"
"Account";"Account"
"Change the password";"Wijzig het wachtwoord"
"Click to mark as not read";"Klik om te markeren als niet gelezen"
"Click to mark as read";"Klik om te markeren als gelezen"
"Create a user";"Maak een gebruiker aan"
"Edit the account ""%s""";"Bewerk het account ""%s"""
"Edit the user";"Bewerk de gebruiker"
"Enter your credentials:";"Vul uw gegevens in:"
"List of backoffice accounts";"Lijst van backoffice-accounts"
"List of the messages";"Lijst van de berichten"
"Login to your backoffice interface";"Log in om naar uw  backoffice-interface te gaan"
"People who are allowed to access the backoffice";"Mensen met toegang tot de backoffice"
"Siberian CMS";"Siberian CMS"
"This account can't be deleted, it's the only one";"Dit account kan niet worden verwijderd, het is de enige"
"User successfully deleted";"Gebruiker succesvol verwijderd"
"View Details";"Bekijk details"
"Your new password";"Uw nieuwe wachtwoord"
"Your password";"Uw wachtwoord"
