<b>File types:</b> %s<br /><b>Recommended size:</b> %s;<b>Bestandstypen:</b> %s<br /><b>Aanbevolen grootte:</b> %s
Click here to send your favicon;Klik hier om je favicon te uploaden
Click here to send your logo;Klik hier om uw logo te uploaden
Communications;Communicatie
Current favicon;Huidige favicon
Current logo;Huidig logo
Display a link to your clients to your support platform;Toont een link aan uw klanten naar uw helpdesk
Drop your favicon here;Laat hier uw favicon vallen
Drop your logo here;Laat hier uw logo vallen
Sales;Verkoop
Sales Email Address;Verkoop – e-mailadres
Sender's email address of the emails sent by the site to your clients;E-mail adres van de  e-mails die door de site word verzonden naar uw klanten
Sender's name of the emails sent by the site to your clients;Naam van de afzender die door de site naar uw klanten word verzonden
Support Email Address;Helpdesk email adres
The folder /images/default is not writable.;De map / images / default is niet beschrijfbaar.
Your Location;Uw Locatie
Your Platform;Uw Platform
Your company;Uw bedrijf
