"'Near me' radius (in km):";"'Yakınımda' yarıçap (km):"
"An error occurred while deleting this answer. Please try again later.";"Bu cevap silinirken bir hata oluştu. Daha sonra tekrar deneyiniz."
"Create a news:";"Bir haber oluşturun:"
"Hide this info";"Bu bilgiyi gizle"
"Information successfully deleted";"Bilgi başarıyla silindi"
"Information successfully hidden";"Bilgi başarıyla gizlendi"
"Information successfully saved";"Bilgi başarıyla kaydedildi"
"Information successfully shown";"Bilgi başarıyla gösterildi"
"Insert a";İliştir
"It will be visible only after validation by our team.";"Ekibimiz tarafından doğrulamadan sonra gösterilir olacaktır."
"My customers answers";"Müşteri cevapları"
"My customers' comments";"Müşteri yorumları"
"Near me";Yakınımda
"Near me settings";"Yakınımda ayarları"
"Near me' radius (in km):";"Yarıçap yakınımda (Km):"
Post;Posta
"Publishing date";"Yayın tarihi"
Radius;Yarıçap
"Radius must be a valid numeric value.";"Yarıçap numerik değer olmalı."
"Radius must be provided.";"Yarıçap belirtilmeli."
Recent;Enson
"Show this info";"Bu bilgiyi göster"
"There is no comment for this news";"Bu habere ait yorum bulunmuyor"
"Was flagged as inappropriate";"Uygunsuz olarak işaretlendi"
"You can't like more than once the same news";"Aynı haber için bir kereden fazla beğeni gönderemzsin"
"You need to be connected to create a post";"Bir yazı oluşturmak için internete bağlı olmanı gerekir"
"Your flag has successfully been notified";"Bayrağınız başarıyla bildirilmiştir"
"Your like has been successfully added";"Beğenin başarıyla eklendi"
"Your message has been successfully saved.";"Mesajınız başarıyla kaydedildi"
"Your post was successfully added";"Yazınız başarıyla eklendi "
