"'Near me' radius (in km):";"prop de mi ""Prop de mi 'ràdio (en km):"
"An error occurred while deleting this answer. Please try again later.";"S'ha produït un error en suprimir aquesta resposta. Intenta-ho de nou més tard."
"Create a news:";"Crear una notícia:"
"Hide this info";"Ocultar aquesta informació"
"Information successfully deleted";"Informació eliminat correctament"
"Information successfully hidden";"Informació oculta amb èxit"
"Information successfully saved";"Informació guardat correctament"
"Information successfully shown";"Informació mostra amb èxit"
"Insert a";"inseriu un"
"It will be visible only after validation by our team.";"Serà visible només després de validació pel nostre equip."
"My customers answers";"Els meus clients respostes"
"My customers' comments";"Comentaris dels meus clients"
"Near me";"prop de mi"
"Near me settings";"Prop de mi ajustos"
Post;lloc
"Publishing date";"data de publicació"
Radius;ràdi
"Radius must be a valid numeric value.";"El radi ha de ser un valor numèric vàlid."
"Radius must be provided.";"El radi ha de ser proporcionada."
Recent;recent
"Show this info";"Mostra aquesta informació"
"There is no comment for this news";"No hi ha comentaris per aquesta notícia"
"Was flagged as inappropriate";"Va ser marcat com inadequada"
"You can't like more than once the same news";"Vostè no pot rebre més d'una vegada la mateixa notícia"
"You need to be connected to create a post";"Has d'estar connectat per crear un lloc"
"Your flag has successfully been notified";"La seva bandera èxit ha estat notificada"
"Your like has been successfully added";"El teu com ha estat afegit amb èxit"
"Your message has been successfully saved.";"El seu missatge ha estat guardat amb èxit."
"Your post was successfully added";"El teu missatge s'ha afegit correctament"
