An error occurred while saving your discount. Please fill in all fields;Er is een fout opgetreden bij het opslaan van uw coupon. Vul alle velden in.
Are you sure you want to use this discount?;Weet u zeker dat u deze korting wilt gebruiken?
Closed discounts;Afgeronde promoties
Create a new discount;Maak een nieuwe korting
Delete this discount?;Verwijder deze korting
Discount successfully deleted;Korting succesvol verwijderd
Discount successfully saved;Korting succesvol opgeslagen
Please select an end date greater than the current date.;Selecteer een einddatum groter is dan de huidige datum.
This discount is now used;Deze korting is nu gebruikt
Valid until;Geldig tot
You have already use this discount;Je hebt al van deze korting gebruik gemaakt
You must be logged in to use a discount;Je moet ingelogd zijn om een korting te gebruiken
or illimited;of gelimiteerd
use only once;alleen eenmaal
you'll be able to remove this promotion later;je kunt deze promotie later verwijderen
