"<b>File types:</b> %s<br /><b>Recommended size:</b> %s";"<b>Typy souborů:</b>%s<br /><b>Doporučená velikost:</b>%s"
"Click here to send your favicon";"Klikněte zde pro vložení faviconu"
"Click here to send your logo";"Klikněte zde pro vložení loga"
Communications;Komunikace
"Current favicon";"Aktuální favicon"
"Current logo";"Aktuální logo"
"Display a link to your clients to your support platform";"Zobrazit uživatelům odkaz na podporu"
"Drop your favicon here";"Vložte favicon"
"Drop your logo here";"Vložte logo"
Sales;Obchod
"Sales Email Address";"Emailová adresa na Obchod"
"Sender's email address of the emails sent by the site to your clients";"?Sender's email address of the emails sent by the site to your clients?"
"Sender's name of the emails sent by the site to your clients";"?Sender's name of the emails sent by the site to your clients?"
"Support Email Address";"Emailová adresa na Podporu"
"The folder /images/default is not writable.";"The folder /images/default is not writable."
"Your Location";"Vaše místo"
"Your Platform";"Vaše platforma"
"Your company";"Vaše společnost"
"﻿<b>File types:</b> %s<br /><b>Recommended size:</b> %s";"<b>Typy souborů:</b>%s<br /><b>Doporučená velikost:</b>%s"
