"%s - Customer Service";"%s - atenció al client"
"20.00%";"20,00%"
"Add a picture";"Afegir una imatge"
"Add options";"Afegir opcions"
"Add to cart";"Afegir a la cistella"
"An error occurred while proceeding the payment. Please, try again later.";"S'ha produït un error en procedint al pagament. Si us plau, intenti-ho més tard."
"An error occurred while proceeding your order. Please, check the following information:";"S'ha produït un error en encetat el seu ordre. Consulta la informació següent:"
"Are you sure you want to close without saving";"Esteu segur que voleu tancar sense desar-lo"
"Are you sure you want to delete this category and all its subcategories?";"Esteu segur que voleu suprimir aquesta categoria i totes les seves subcategories?"
"Are you sure you want to delete this store?";"Esteu segur que voleu suprimir aquesta botiga?"
"Are you sure you want to delete this tax?";"Esteu segur que voleu suprimir aquest impost?"
"Are you sure you want to remove this product?";"Esteu segur que voleu suprimir aquest producte?"
"At least one option is required:";"Com a mínim una opció es requereix:"
"Cancelled";"Cancel·lat"
"Carry Out";"Dur a terme"
"Cart";"Cistella"
"Cash";"Efectiu"
"Category";"Categoria"
"Category successfully saved.";"Categoria salvat correctament."
"Check";"Registre d'entrada"
"Choose a delivery method:";"Triar un mètode de lliurament:"
"Choose a payment method:";"Triar un mètode de pagament:"
"Choose a store:";"Triar una botiga:"
"Completed";"Completat"
"Connected Printers";"Impressores connectades"
"Continue shopping";"Continuar comprant"
"Create a new options group";"Crear un nou grup d'opcions"
"Create a new product";"Crear un nou producte"
"Create a new tax";"Crear un nou impost"
"Create a store";"Crear una botiga"
"Credit Card by phone";"Targeta de crèdit per telèfon"
"Credit card (pay upon pickup or delivery)";"Targeta de crèdit (pagament en la recollida o entrega)"
"Customer";"Atenció al client"
"Customer Service";"Servei al client"
"Delivery";"Lliurament"
"Delivery Fees";"Lliurament d'entrades"
"Delivery Method";"Mètode de lliurament"
"Delivery area";"Zona de lliurament"
"Delivery fees";"Lliurament d'entrades"
"Delivery fees:";"Lliurament d'entrades:"
"Delivery methods";"Mètodes de lliurament"
"Delivery methods:";"Mètodes de lliurament:"
"Delivery radius";"Radi de lliurament"
"Delivery radius:";"Radi de lliurament:"
"Delivery time";"Termini de lliurament"
"Delivery time:";"Termini de lliurament:"
"Details";"Detalls"
"Edit a store";"Editar una botiga"
"Edit the options group %s";"Edita el grup opcions %s"
"Edit the product %s";"Editar el producte %s"
"Edit the tax %s";"Editar l'impost de %s"
"Free delivery starting from";"Lliurament gratuït a partir de"
"Free delivery starting from:";"Lliurament gratuït a partir de:"
"Here is the detail of the order";"Aquí és el detall de l'ordre"
"Here is the detail of your order";"Aquí és el detall de la teva comanda"
"Hours of operation";"Horari d'atenció"
"Hours of operation:";"Hores d'operació:"
"In store";"A la botiga"
"Meal Voucher";"Val de dinar"
"Minimum order";"Comanda mínima"
"Minimum order:";"Comanda mínima:"
"My Cart";"El meu carret"
"My cart is empty";"El meu carro està buit"
"My categories";"Meus categories"
"My information";"Meva informació"
"My orders";"Meves comandes"
"My product's categories";"Categories del meu producte"
"My product's options";"Opcions del meu producte"
"My products";"Meus productes"
"My stores";"Meves botigues"
"My taxes";"Meus impostos"
"Name of the options group:";"Nom del grup d'opcions:"
"New order from the application";"Nou ordre de l'aplicació"
"Number";"Nombre"
"Option name";"Nom de l'opció"
"Option name:";"Nom de l'opció:"
"Options group successfully deleted";"Grup d'opcions correctament"
"Options group successfully saved";"Grup d'opcions salvat correctament"
"Order Number";"Número d'ordre"
"Order confirmation";"Confirmació d'ordre"
"Order details";"Dades de la comanda"
"Order successfully saved";"Ordre salvat correctament"
"Orders";"Comandes"
"Paid";"Pagat"
"Password";"Contrasenya"
"Password:";"Contrasenya:"
"Payment";"Pagament"
"Payment Method";"Forma de pagament"
"Payment methods:";"Mètodes de pagament:"
"Paypal";"PayPal"
"Pending payment";"Pendent pagament"
"Picture";"Imatge"
"Please choose a delivery method";"Si us plau, escolliu un mètode de lliurament"
"Please choose a payment method";"Si us plau, escolliu un mètode de pagament"
"Please, enter an email address for the store %s";"Si us plau, introduïu una adreça de correu electrònic per al magatzem de %s"
"Price";"Preu"
"Price: %s";"Preu: %s"
"Printer successfully saved";"Impressora salvat correctament"
"Proceed";"Procedir"
"Product";"Producte"
"Product name";"Nom del producte"
"Product name:";"Nom del producte:"
"Product successfully saved";"Producte salvat correctament"
"Qty";"Quantitat"
"Qty: %s";"Quantitat: %s"
"Radius in Km";"Radi en Km"
"Review";"Revisió"
"Settings";"Configuració"
"Signature";"Signatura"
"Signature:";"Signatura:"
"Status";"L'estat"
"Store information";"Botiga informació"
"Store name";"Nom de la botiga"
"Store name:";"Nom de la botiga:"
"Store successfully deleted";"Botiga correctament"
"Store successfully saved";"Botiga salvat correctament"
"Stores";"Botigues"
"Subtotal";"Subtotal"
"Tax";"Impost"
"Tax name";"Nom fiscal"
"Tax name:";"Nom fiscal:"
"Tax rate";"Tipus impositiu"
"Tax rate:";"Tipus impositiu:"
"Tax successfully deleted";"Impostos suprimits amb èxit"
"Tax successfully saved";"Impost salvat correctament"
"Tax:";"Fiscal:"
"Thank you!";"Gràcies!"
"The delivery method";"El mètode de lliurament"
"The following options are required:<br />%s";"Les opcions següents són obligatoris: < br />%s"
"The option %s is required";"L'opció %s s'exigeix"
"The payment has been cancelled, something wrong happened? Feel free to contact us";"El pagament ha estat cancel·lada, va passar una cosa malament? No dubti en contactar amb nosaltres"
"The payment method";"La forma de pagament"
"Time in minutes";"Temps en minuts"
"Total";"Total"
"Total Excl. Tax";"L'impost total excl."
"Total Tax";"Total impostos"
"Total: %s";"Total: %s"
"Unit Price";"Preu unitari"
"Unit price";"Preu unitari"
"Username";"Nom d'usuari"
"Username:";"Nom d'usuari:"
"We apologize but the payment method %s is currently not available";"Demanem disculpes, però el mètode de pagament %s actualment no està disponible"
"We thank you for your order. A confirmation email has been sent";"Et donem gràcies per la teva comanda. S'ha enviat un email de confirmació"
"You don't have any categories yet";"Encara no tens cap categories"
"You have a connected printer? Enter the email address";"Vostè té una impressora connectada? Introduïu l'adreça de correu electrònic"
"You have a connected printer? Enter the email address for each store";"Vostè té una impressora connectada? Introduïu l'adreça de correu electrònic per a cada botiga"
"Your address";"L'adreça"
"Your email address";"L'adreça electrònica"
"Your firstname";"El vostre nom"
"Your lastname";"El seu cognom"
"Your phone number";"El seu número de telèfon"
"e.g., Sauces";"per exemple, salses"
