"%s by %s";"%s by %s"
"+ Add a track";"+ aggiungi un brano"
"Add albums and tracks to the playlist:";"Aggiungi gli album e i brani alla playlist"
"Album";"Album"
"Albums";"Albums"
"Albums:";"Albums:"
"An error occurred while deleting you images gallery. Please try again later.";"Si è verificato un errore durante l'eliminazione della galleria immagini. Riprova in seguito"
"An error occurred while deleting your album. Thanks for trying later.";"Si è verificato un errore durante l'eliminazione del vostro album. Riprova in seguito"
"An error occurred while deleting your playlist. Thanks for trying later.";"Si è verificato un errore durante l'eliminazione della vostra playlist. Riprova in seguito"
"An error occurred while deleting your track. Thanks for trying later.";"Si è verificato un errore durante l'eliminazione del vostro brano. Riprova in seguito"
"An error occurred while loading pictures. Please try later.";"Si è verificato un errore durante il caricamento delle immagini. Riprova in seguito"
"An error occurred while loading videos. Please try later.";"Si è verificato un errore durante il caricamento dei video. Riprova in seguito"
"An error occurred while saving your images gallery. Please try again later.";"Si è verificato un errore durante il salvataggio della galleria immagini . Riprova in seguito"
"An error occurred while saving your playlist. Thanks for trying later.";"Si è verificato un errore durante il salvataggio della vostra playlist. Riprova in seguito"
"An error occurred while saving your videos gallery. Please try again later.";"Si è verificato un errore durante il salvataggio della galleria video. Riprova in seguito"
"Are you sure you don't want to create an album for these tracks?";"Sei sicuro di non voler creare un album per questi brani?"
"Are you sure you don't want to create an album for this track?";"Sei sicuro di non voler creare un album per questo brano?"
"Are you sure you want to delete this album (this won't delete tracks)?";"Sei sicuro di voler eliminare questo album (questo non cancella i brani)?"
"Are you sure you want to delete this album?";"Sei sicuro di voler eliminare questo album?"
"Are you sure you want to delete this playlist?";"Sei sicuro di voler eliminare questa playlist?"
"Are you sure you want to delete this track?";"Sei sicuro di voler eliminare questo brano?"
"Artist";"Artista"
"Artist:";"Artista:"
"Audio";"Audio"
"Channel";"Canale"
"Choose an album";"Scegli un album"
"Custom";"Personalizza"
"Delete this gallery?";"Eliminare la galleria?"
"Feed URL";"Feed URL"
"Feed URL <span class=""required-entry"">*</span> :";"Feed URL <span class=""required-entry"">*</span> :"
"Gallery Name";"Nome galleria"
"Gallery Name <span class=""required-entry"">*</span> :";"Nome galleria <span class=""required-entry"">*</span> :"
"Group";"Gruppo"
"I'm listening to";"Sto ascoltando"
"Images gallery has been saved successfully";"La galleria immagini è stata salvata correttamente"
"Instagram";"Instagram"
"Last update:";"Ultimo aggiornamento:"
"Maximum size : 2000*2000 px - Allowed filetypes : jpg and png";"Dimensione massima : 2000*2000 px - file consentiti : jpg and png"
"My images";"Mie immagini"
"My pictures";"Mie immagini"
"No album found";"Album non trovato"
"No artist found";"Artista non trovato"
"No track found";"Brano non trovato"
"PLAYER";"PLAYER"
"Parameter";"Parametri"
"Parameter/Feed Url";"Parametri/Feed URL"
"Picasa";"Picasa"
"Picture%s";"Immagine %s"
"Playlist";"Playlist"
"Playlist successfully saved.";"Playlist salvata correttamente"
"Playlist title:";"Titolo playlist:"
"Playlists";"Playlists"
"Podcast";"Podcast"
"Podcast URL (iTunes format)";"Podcast URL (iTunes format)"
"Read all";"Leggi tutto"
"Required field";"Campo obbligatorio"
"Search/Url";"Search/URL"
"The entered name is not a valid Instagram user.";"Il nome inserito non è un utente di Instagram valido."
"This element is not an album.";"Questo elemento non è un album."
"Track";"Brano"
"Tracks";"Brani"
"Type";"Type"
"URL (.mp3):";"URL (.mp3):"
"Videos gallery has been saved successfully";"La galleria video è stata salvata correttamente"
"Vimeo";"Vimeo"
"buy";"Acquista"
"close";"chiudi"
"empty";"vuoto"
"from";"da"
"hide";"Nascondi"
"loop";"loop"
"music";"musica"
"next";"prossimo"
"on";"on"
"pause";"pausa"
"play";"play"
"previous";"prcedente"
"share";"condividi"
"shuffle";"trascina"
"track";"brano"
"tracks";"brani"
