"%d Unread Message";"%d messaggio non letto"
"%d Unread Messages";"%d messaggi non letti"
"Account";"Account"
"Change the password";"Cambia la password"
"Click to mark as not read";"Clicca per contrassegnare come non letto"
"Click to mark as read";"Clicca per contrassegnare come letto"
"Create a user";"Crau un user"
"Edit the account ""%s""";"Modifica account ""%s"""
"Edit the user";"Modifica user"
"Enter your credentials:";"Digita le tue credenziali:"
"Info";"Info"
"List of backoffice accounts";"Lista dei bacoffices accounts"
"List of the messages";"Lista dei messaggi"
"Login to your backoffice interface";"Accedi al backoffice"
"People who are allowed to access the backoffice";"Persone che hanno il permesso di accedere al backoffice"
"Publication access type";"Tipo di accesso alla pubblicazione"
"Siberian CMS";"Tiger App Creator"
"Sources code";"Sources code"
"This account can't be deleted, it's the only one";"Questo account non può essere eliminato, è l'unico account"
"User successfully deleted";"User cancellato correttamente"
"View Details";"Vedi dettagli"
"Your new password";"La tua nuova password"
"Your password";"La tua password"
