"Add a link";"Přidat odkaz"
"An error occurred while saving your picto. Please try againg later.";"Při ukládání ikony došlo k chybě. Zkuste to prosím později"
"Are you sure you want to delete this link?";"Opravdu chcete smazat tento odkaz?"
"Are you sure you want to delete this picture?";"Opravdu chcete smazat tento obrázek?"
Link;Odkaz
"Link has been successfully deleted";"Odkaz byl úspěšně smazán"
"Link has been successfully saved";"Odkaz byl úspěšně uložen"
Link:;Odkaz:
Picto;Ikona
"The image has been successfully deleted";"Obrázek byl úspěšně smazán"
"The image has been successfully saved";"Obrázek byl úspěšně uložen"
"Your links";"Seznam odkazů"
"﻿Add a link";"Přidat odkaz"
