" is now yours!";"je nyní Váš!"
"%d validated points = ";"%d ověřených bodů "
"1 loyalty point =";"1 věrnostní bod =  "
"1 point";"1 bod =  "
"1 validated point = ";"1 ověřený bod =  "
"An error occurred while saving the password. Please try again later";"Při ukládání hesla došlo k chybě. Zkuste to prosím později"
"An error occurred while saving the password. Please try again later.";"Při ukládání hesla došlo k chybě. Zkuste to prosím později"
"An error occurred while saving your loyalty card.";"Při ukládání věrnostní karty došlo k chybě"
"An error occurred while saving your loyalty card. Please fill all fields in.";"Při ukládání věrnostní karty došlo k chybě. Vyplňte prosím všechna pole"
"An error occurred while validating point. Please try again later.";"Při ověřování bodu došlo k chybě. Zkuste to prosím později"
"Card name";"Název karty (pro vás)"
Congratulations;Gratulujeme
"Current card";"Součastný věrnostní program"
"Delete this password?";"Smazat toto heslo?"
"Employee's name";"Jméno zaměstnance"
"Employee's name:";"Jméno zaměstnance:"
"Employee's password";"Heslo zaměstnance"
"Employee's password:";"Heslo zaměstnance:"
"Enter the password";"Zadejte heslo"
"My new loyalty card";"Nový věrnostní program"
"My passwords";"Moje hesla"
"Number of points";"Počet bodů (k odměně)"
"Please enter a name";"Prosím, zadejte název"
"Please enter the password";"Prosím, zadejte heslo"
"Please show your phone to the store person so that he enters his password";"Požádejte prosím personál o vložení hesla k zapsání věrnostního bodu"
"Point%s successfully validated";"Bod%s úspěšně ověřen"
"Previous cards";"Předchozí věrnostní programy"
Reward;Odměna
"We are sorry but this card is temporarily blocked";"Je nám líto, ale tato karta je dočasně blokována"
"Wrong password. Be carefull! %d remaining attempt%s before locking your card. Ask the store person for validating your point";"Chybné heslo. Buďte opatrní! %d zbývající pokusy%s před zablokováním karty. Požádejte personál o zadání hesla k ověření bodu"
"Wrong password.<br />Be carefull! %d remaining attempt%s before locking your card.<br /> Ask the store person for validating your point";"Chybné heslo.<br />Buďte opatrní! %d zbývající pokusy%s před zablokováním karty.<br /> Požádejte personál o zadání hesla k ověření bodu"
"You have exceeded the number of attempts to validate points. Your card is locked for 24h";"Upps, překročili jste počet pokusů pro zadání hesla! Vaše karta je zablokována po dobu 24 hodin"
"You just finished your card";"Právě jste nasbírali všechy body na Vaší kartě!"
"You must be logged in to validate points";"K potvrzení věrnostních bodů musíte být přihlášeni"
"Your loyalty card has been saved successfully";"Vaše věrnostní karta byla úspěšně uložena"
"Your password must be 4 digits";"Heslo musí být 4 číslice"
point;bod
"point to validate";"bod k ověření"
"points to validate";"body k ověření"
