"Additionnal Information";"Συμπληρωματικές πληροφορίες"
"And a radius (in Km):";"Και μια ακτίνα (σε χλμ):"
Android;Android
"Creation date";"Ημ/νία δημιουργίας"
"Enter a location:";"Συμπληρώστε τοποθεσία:"
"GCM Key";"Κλειδί GCM"
"I want to send it";"Θέλω να το στείλω"
"Keys successfully saved";"Το Κλειδί αποθηκεύτηκε επιτυχώς"
Message;Μήνυμα
Message:;Μήνυμα:
Pending;Εκκρεμεί
"Push Notifications";"Μηνύματα Push"
"Push Notifications Settings";"Ρυθμίσεις Μηνυμάτων Push"
Radius;Ακτίνα
"Send to a specific location";"Στείλτε σε συγκεκριμένη τοποθεσία"
"Send to all my users";"Αποστολή σε όλους τους χρήστες"
"Sender ID";"ID αποστολέα"
"Sending date";"Ημ/νία αποστολής"
"The duration limit must be higher than the sent date";"Το όριο διαρκείας, πρέπει να είναι μεταγενέστερο της ημ/νίας αποστολής"
"Your app must be published to send a push notification.";"Η εφαρμογή σας θα πρέπει να έχει δημοσιευθεί για να στείλετε μήνυμα Push."
"Your message has been saved successfully and will be sent at the entered date";"Το μήνυμά σας αποθηκεύτηκε επιτυχώς και θα αποσταλεί την ορισμένη ημ/νία"
"Your message has been saved successfully and will be sent in a few minutes";"Το μήνυμά σας αποθηκεύτηκε επιτυχώς και θα αποσταλεί σε λίγα λεπτά"
"and users entering the area";"και χρήστες που εισέρχονται στην περιοχή"
"for a limited period";"για περιορισμένη περίοδο"
now;τώρα
"on a specific date";"σε συγκεκριμένη ημ/νία"
