".mp4 or .3gp format";"Formato .mp4 o .3gp"
"Add ";"Aggiungi"
"Add sections:";"Aggiungi sezione:"
"Address:";"Indirizzo:"
"Alignment:";"Allineamento:"
"An error occurred while saving your page.";"Si è verificato un errore durante il salvataggio della pagina."
"Are you sure you want to delete this page?";"Sei sicuro di voler cancellare questa pagina?"
"Display address";"Mostra indirizzo"
"Display location button";"Mostra la posizione con il segnaposto"
"Label";"Label"
"Label:";"Label:"
"Large";"Largo"
"Latitude:";"Latitudine:"
"Link:";"Link:"
"Loading picture:";"Carica immagine:"
"Longitude:";"Longitudine:"
"Make a search or enter the Youtube Url:";"Fai una ricerca o inserisci un Url Youtube:"
"Medium";"Medio"
"My Youtube video:";"My youtube video:"
"My video";"My video"
"No videos matching your selection";"Nessun video trovato per la tua ricerca"
"Page successfully deleted";"Pagina cancellata correttamente"
"Page successfully saved";"Pagina salvata correttamente"
"Podcast URL:";"Podcast URL:"
"Select a button type:";"Selezione un tipo di pulsante:"
"Select a video type:";"Selezione un tipo di video:"
"Small";"Piccolo"
"Video URL:";"Video URL:"
"Your Podcast:";"Il tuo Podcast:"
