"Add a page";"添加页面"
"Click on";"点击"
"Click on a page to add it to the folder <span id=""folder_name"" class=""folder_name"">""%s""</span>";"点击页面上添加到文件夹 <span id=""folder_name"" class=""folder_name"">""%s""</span>"
"Click on a page to add it to the folder";"点击页面上添加到文件夹"
"Close mobile display";"关闭手机屏幕"
"Delete this folder and all its subfolders?";"删除此文件夹及其所有子文件夹？"
"Folder title is required";"所需的文件夹称号"
"Folders";"文件夹"
"Mobile display";"手机屏幕"
"New folder";"新建文件夹"
"Subtitle";"副标题"
"You cannot add this feature";"你可以不加这个功能"
"You must first complete the current category creation process";"你必须先完成创建类的当前进程"
"You will lose all unsaved changes, continue?";"你将失去所有未保存的更改，是否继续？"
"to add a folder.";"添加一个文件夹。"
