%s - All;%s - Todos
Add a category;Adicionar uma categoria
Add a format;Adicionar um formato
All;Todos
An error occurred while loading your product.;Ocorreu um erro ao carregar o seu produto.
An error occurred while saving the category. Please try again later.;Ocorreu um erro ao salvar a categoria. Por favor, tente novamente mais tarde.
An error occurred while saving the product. Please try again later.;Ocorreu um erro ao salvar o produto. Por favor, tente novamente mais tarde.
An error occurred while saving the set meal. Please try again later.;Ocorreu um erro ao salvar a refeição. Por favor, tente novamente mais tarde.
An error occurred while saving. One of your categories could not be identified.;Ocorreu um erro ao salvar. Uma de suas categorias pode não ter sido aprovada.
An error occurred while saving. One of your products could not be identified.;Ocorreu um erro ao salvar. Um de seus produtos pode não ter sido aprovado.
Are you sure you want to delete this product?;Tem certeza de que deseja excluir este produto?
Category;Categoria
Choose a category;Alterar a categoria
Choose a subcategory;Alterar a sub-categoria
Click on a category to display sub-categories;Clique em uma categoria para exibir suas sub-categorias
Create a new product;Criar um novo produto
Does this product have many formats?;Será que este produto tem muitos formatos?
Edit the;Edite o
Edit the product;Editar o produto
Format;Formato
Picture;Imagem
Price;Preço
Product;Produto
Product formats;Formatos produto
Product name;Nome produto
Rules;Regras
Set meal successfully deleted.;Definição de refeição excluída com sucesso.
Set meal successfully saved.;Definição de refeição salva com sucesso.
Sub-category;Sub-categoria
st;st
sub-category;sub-categoria
