"<b>File types:</b> %s<br /><b>Recommended size:</b> %s";"<b>Type de fichier:</b> %s<br /><b>Taille recommandée:</b> %s"
"Click here to send your favicon";"Cliquez ici pour envoyer votre favicon"
"Click here to send your logo";"Cliquez ici pour envoyer votre logo"
"Communications";"Communications"
"Current favicon";"Votre favicon"
"Current logo";"Votre logo"
"Display a link to your clients to your support platform";"Afficher un lien aux clients vers votre support"
"Drop your favicon here";"Déposez votre favicon ici"
"Drop your logo here";"Déposez votre logo ici"
"Sales";"Ventes"
"Sales Email Address";"Ventes – Adresse email"
"Sender's email address of the emails sent by the site to your clients";"Adresse email de l'expéditeur des emails envoyé par le site à vos clients"
"Sender's name of the emails sent by the site to your clients";"Nom de l'expéditeur des emails envoyé par le site à vos clients"
"Support Email Address";"Support – Adresse email"
"The folder /images/default is not writable.";"Le dossier /images/default n'a pas les droits en écriture"
"Your Location";"Votre localisation"
"Your Platform";"Votre plate-forme"
"Your company";"Votre entreprise"
