An error occurred while saving your discount. Please fill in all fields;İndiriminiz kaydedilirken bir hata oluştu. Tüm alanları doldurunuz
Are you sure you want to use this discount?;Bu indirimi kullanmak istediğinizden emin misiniz?
Closed discounts;Kapalı indirimler
Create a new discount;Yeni bir indirim oluştur
Delete this discount?;Bu indirimi sil?
Discount successfully deleted;İndirim başarıyla silindi
Discount successfully saved;İndirim başarıyla kaydedildi
Please select an end date greater than the current date.;Lütfen bugünden daha sonraki bir tarih seçin.
This discount is now used;Bu indirim artık kullanılır
Valid until;Tarihine kadar geçerli
You have already use this discount;Zaten bu indirim kullanda
You must be logged in to use a discount;İndirim kullanmak için giriş yapmalısınız
or illimited;ya da sınırlı
use only once;yanlızca bir kez kullanın
you'll be able to remove this promotion later;Daha sonra bu promosyonu kaldırmak mümkün olacak
