"An error occurred while saving your discount. Please fill in all fields";"Při ukládání slevy došlo k chybě. Vyplňte prosím všechna pole"
"Are you sure you want to use this discount?";"Opravdu chcete využít tuto slevu?"
"Closed discounts";"Ukončené slevy"
"Create a new discount";"Vytvořit novou slevu"
"Delete this discount?";"Odstranit tuto slevu?"
"Discount successfully deleted";"Sleva úspěšně smazána"
"Discount successfully saved";"Sleva byla úspěšně uložena"
"Please select an end date greater than the current date.";"Datum ukončení musí být větší než aktuální datum"
"This discount is now used";"Tato sleva je právě používána"
"Valid until";"Platí do:"
"You have already use this discount";"Tuto slevu jste již použili"
"You must be logged in to use a discount";"Pro využití slevy musíte být přihlášeni"
"or illimited";"nebo stálá sleva"
"use only once";"použít jen jednou"
"you'll be able to remove this promotion later";"můžete ji však kdykoliv smazat"
"﻿An error occurred while saving your discount. Please fill in all fields";"Při ukládání slevy došlo k chybě. Vyplňte prosím všechna pole"
