"%s - Your new password";"%s  - Ваш новый пароль"
"A request to reset your password has been made to log in to your administration panel.";"Запрос для сброса пароля была сделан, чтобы войти в вашу Панель Администратора."
"Admin successfully deleted";"Админ успешно удален"
"An error occurred while saving. The country is not valid.";"Произошла ошибка при сохранении. Страна не является действительной."
"Are you sure you want to delete this application?";"Вы уверены, что хотите удалить это приложение?"
"Can add pages";"Можно добавить страницы"
"Change my password";"Изменение пароля"
"Confirm your password";"Подтвердите пароль"
"Create a new application";"Создание нового приложения"
"Create a new user";"Создание нового пользователя"
"Created At";"Создан в "
"Created at %s";"Дата создания:  %s"
"Do not hesitate to give us your feedback by sharing your needs:";"Не стесняйтесь, оставьте нам свое мнение, поделитесь своими потребностями:"
"Edit the account ""%s""";"Редактировать учетную запись ""%s"""
"Edit the user %s";"Редактирование пользователя %s"
"Enjoy!";"Наслаждайтесь!"
"Find some advices here:";"Найдите здесь несколько советов:"
"Here are your credentials, keep them preciously:";"Вот ваши полномочия, храните их бережно:"
"List of admin accounts";"Список записи администраторов"
"List of my accounts";"Список моих счетов"
"List of your users";"Список пользователей"
"Log-in As";"Вход в систему как"
"Manage access";"Управление доступом"
"My Applications";"Мои приложения"
"My information";"Моя информация"
"Need some help?";"Нужна помощь?"
"Please enter a valid email address.";"Пожалуйста, введите действительный адрес электронной почты."
"Please, enter an application name";"Пожалуйста, введите имя приложения"
"Ready to create your own apps?";"Все готово для создания собственных приложений?"
"Sign up";"Создать аккаунт"
"Thanks for choosing us!";"Спасибо что выбрали нас!"
"The Support Team";"Команда поддержки"
"The password and the confirmation does not match.";"Пароль и подтверждение не совпадают."
"The password must be at least 6 characters.";"Пароль должен быть не менее 6 символов."
"We are sorry but this email address is already used.";"Мы сожалеем, но этот адрес уже используется."
"Welcome!";"Добро пожаловать!"
"You are going to love it! Thanks to our effective features, you will be able to create great mobile apps in your name, within minutes.";"Вам понравиться наша платформа! Благодаря нашим эффективным функциям, вы сможете создавать великолепные мобильные приложения с вашим именем, в течение нескольких минут."
"You can't delete the main account";"Вы не можете удалить основной аккаунт"
"You don't have any users yet";"Вы не создали еще ни одного пользователя"
"Your credentials";"Ваши учетные данные"
"Your login:";"Ваш Логин:"
"Your password:";"Ваш пароль:"
"API Keys";"Ключи API"
"Api Keys";"Api Ключи"
"Api Keys successfully saved";"Api Ключи успешно сохранены"
﻿"1. Download the app previewer:";"1. Скачать приложение предпросмотра:"
"2. Open the app and login";"2. Откройте приложение и логин"
"<b>File type:</b> %s";"<b>Тип файла:</b> %s"
"<span>Click on</span><button class=""add"" type=""button""><i class=""icon-plus""></i></button> <span>to add an item.</span>";"<span>Нажмите на плюс</span><button class=""add"" type=""button""><i class=""icon-plus""></i></button> <span>и добавится пункт.</span>"
"Activated";"Активен"
"Add a new icon";"Добавить новый значок"
"Add pages";"Добавьте страницы"
"Additional options";"Дополнительные опции"
"An error occured while copying your app icon. Please check the icon, try to send it again and try again.";"Произошла ошибка при копировании значка приложения. Пожалуйста, проверьте значок, попробуйте отправить его еще раз и повторите попытку."
"An error occurred during the generation of your QRCode. Please try again later.";"Произошла ошибка при генерации вашего QR кода. Пожалуйста, повторите попытку позже."
"An error occurred while adding the option";"Произошла ошибка при добавлении опции"
"An error occurred while changing your layout.";"Произошла ошибка при смене макета."
"An error occurred while deleting the option";"Произошла ошибка во время удаления опции"
"An error occurred while deleting your picture";"Произошла ошибка во время удаления вашей фотографии"
"An error occurred while editing file (%s).";"Произошла ошибка при редактировании файла (%s)."
"An error occurred while loading";"Произошла ошибка при загрузке"
"An error occurred while saving the application. Please try again later.";"Произошла ошибка при сохранении приложения. Пожалуйста, повторите попытку позже."
"An error occurred while saving your colors.";"Произошла ошибка при сохранении ваших цветов"
"An error occurred while saving your page name.";"Произошла ошибка при сохранении имени вашей страницы"
"An error occurred while saving. The selected icon is not valid.";"Произошла ошибка при сохранении. Выбранный значок не является действительным."
"An error occurred while sorting your pages. Please try again later.";"Произошла ошибка при сортировке страниц. Пожалуйста, повторите попытку позже."
"Analytics";"Аналитика"
"Android APK Generation";"Андроид APK генератор"
"Android Version";"Версия Андроида"
"App Store Icon";"App Store иконка"
"Apple's Information";"Информация от Apple"
"Application name";"Название программы"
"Are you sure you want to remove this application?";"Вы уверены, что хотите удалить это приложение?"
"At least 200 characters in the description";"По крайней мере должно быть 200 символов в описании"
"At least, 4 pages in the application";"По крайней мере должны быть 4 страницы в приложении"
"Audio";"Аудио"
"Average by customer";"Средняя заказчиком"
"Book";"Книга"
"Bundle Id";"Пакеты  Id"
"Business";"Бизнес"
"Buy one, get one!";"Купите один, получите один!"
"Catalogs";"Каталог"
"Certificate";"Сертификат"
"Change your";"Изменить"
"Change your template";"Изменить шаблон"
"Change your<br /><span>picture</span>";"Изменить<br /><span>картинку</span>"
"Checking CNAME configuration:";"Проверка CNAME конфигурации:"
"Choose your design";"Выберите свой дизайн"
"Choose a <br /><span class=""bold"">picture</span>";"Выберите <br /><span class=""bold"">картинку</span>"
"Choose a country";"Выберите страну"
"Choose a font family";"Выберите шрифт"
"Choose a template to customize";"Выберите шаблон, чтобы настроить"
"Choose your colors";"Подберите цветовую схему приложения"
"Choose your country";"Выберите страну"
"Choose your font style";"Выберите свой стиль шрифта"
"Choose your homepage image";"Выберите изображение страницы"
"Choose your icons color";"Подберите дизайн кнопок управления "
"Choose your layout";"Выберите макет"
"Choose your template";"Выберите шаблон"
"Click here to download the source code:";"Нажмите здесь, чтобы загрузить исходный код:"
"Click here to send your certificate";"Нажмите здесь, чтобы отправить сертификат"
"Colors";"Цвета"
"Dashboard icon";"Иконка Приборной панели"
"Deactivated";"Не активен"
"Delete this page?";"Удалить эту страницу?"
"Design";"Дизайн"
"Developer Accounts";"Аккаунт для разработчиков"
"Device Information";"Информация об устройстве "
"Discount zone description. Here your clients will be able to see the details of each discount";"Описание раздела скидок. Здесь ваши клиенты смогут увидеть подробные сведения о каждой скидке."
"Domain";"Домен"
"Domain name";"Имя домена"
"Download";"Скачать"
"Download our app previewer";"Загрузите наше приложение предварительного просмотра"
"Drop your certificate here";"Оставьте свой сертификат здесь"
"Edit my";"Редактировать мой"
"Edit the application ""%s""";"Измените приложение ""%s"""
"Editor";"Редактор"
"Education";"
Образование"
"Entertainment";"Развлечения"
"Extension not allowed, '%s' only";"Расширение не допускается, '%s' только"
"Features";"Функции"
"Finance";"Финансы"
"Food & Drink";"Еда и Напитки"
"Fred W.";"Евгений А."
"Games";"Игры"
"General Information";"Общая информация"
"General information";"Общая информация"
"Global visits";"Глобальные посещения"
"Google Play Icon";"Google Play иконка"
"Google's Information";"Информация от Google"
"Health & Fitness";"Здоровье и Фитнес"
"Here is our latest creation. What do you think?";"Вот наше последнее творение. Что вы думаете?"
"Homepage preview";"Домашняя страница предварительного просмотра"
"I don't have a Google developer account and I want to create one";"У меня нет учетной записи разработчика Google, и я хочу её создать."
"I don't have an Apple developer account and I want to create one";"У меня нет учетной записи разработчика Apple, и я хочу её создать."
"I have an Apple developer account";"У меня есть аккаунт разработчика Apple,"
"I have an Google developer account";"У меня есть аккаунт разработчика Google"
"I let you publish my application under your Apple developer account";"Я позволю вам опубликовать мое заявление под своей учетной записью разработки Apple"
"I let you publish my application under your Google developer account";"Я позволю вам опубликовать мое заявление под своей учетной записью разработчика Google"
"Icons";"Иконка"
"Id";"Id"
"If you validate, your app's colors and background image will be replaced";"Если вы проверяете, цвета вашего приложения и фоновое изображение будет заменено."
"Installed application";"Установка приложения"
"Key Password";"Ключ Пароль"
"Keywords";"Ключевые слова"
"Last name:";"Фамилия:"
"Library icons";"Библиотека иконок"
"Lifestyle";"Стиль жизни"
"List of my applications";"Список моих приложений"
"List of your applications";"Список приложений"
"Loading";"Загрузка"
"Lock the entire application";"Блокировка всего приложения"
"Love it <3";"Любовь это <3"
"Main";"Главная"
"Manage icons";"Управление иконками"
"Media";"Медиа"
"Medical";"Медицина"
"Missing Information";"Отсутствует информация"
