Action;Aktion
"App Name";App-Name
Client;Client
Date;Datum
Invoice;Rechnung
"Invoice %s";"Rechnung %s"
"Invoice N°";"Rechnung N °"
"List of your invoices";"Liste der Rechnungen"
"My Invoices";"Meine Rechnungen"
Order;Bestellung
Orders;Bestellungen
"Paid At";Gezahlt
"Paid at:";Gezahlt
"Price Excl. Tax";"Preis ohne MwSt."
Qty;Qty
"This feature is not ready yet. Please try again later.";"Diese Funktion ist noch nicht bereit. Bitte versuchen Sie es später erneut."
"Total Excl. Tax";"Total exkl. USt."
"You don't have any invoices yet";"Sie noch alle Rechnungen nicht"
