"Additionnal Information";"Další informace"
"And a radius (in Km):";"A poloměr (v km):"
Android;Android
"Creation date";Vytvořeno
"Enter a location:";"Vyberte oblast (místo nebo GPS souřadnice):"
"GCM Key";"GCM Key"
"I want to send it";"Chci odeslat"
"Keys successfully saved";"Klíč úspěšně uložen"
Message;Zpráva
Message:;Zpráva:
Pending;Nevyřízené
"Push Notifications";"PUSH zprávy"
"Push Notifications Settings";"PUSH zprávy - nastavení"
Radius;Poloměr
"Send to a specific location";"Odeslat do konkrétní oblasti"
"Send to all my users";"Odeslat všem uživatelům"
"Sender ID";"ID odesílatele"
"Sending date";"Datum odeslání"
"The duration limit must be higher than the sent date";"Doba trvání musí být vyšší než datum odelsání!"
"Your app must be published to send a push notification.";"Pro odesílání PUSH zpráv musí být vaše aplikace nejprve vypublikována"
"Your message has been saved successfully and will be sent at the entered date";"Vaše zpráva byla úspěšně uložena a bude odeslána v zadaný termín"
"Your message has been saved successfully and will be sent in a few minutes";"Vaše zpráva byla úspěšně uložena a bude odeslána během okamžiku"
"and users entering the area";"a uživatelé, kteří vstoupí do této oblasti"
"for a limited period";"po omezenou dobu"
now;nyní
"on a specific date";"k určitému datu"
"﻿Additionnal Information";"Další informace"
