".mp4 or .3gp format";"名为.3gp或.MP4格式"
"Add ";"添加在"
"Add sections:";"添加部分："
"Address:";"街道地址："
"Alignment:";"调整："
"An error occurred while saving your page.";"有一个错误保存页面。"
"Are you sure you want to delete this page?";"你确定要删除这个页面？"
"Display address";"展会地址"
"Display location button";"显示按钮的位置"
"Label";"标签"
"Label:";"标签："
"Large";"伟大"
"Loading picture:";"加载图像："
"Make a search or enter the Youtube Url:";"让搜索或输入YouTube的网址："
"Medium";"中位数"
"My Youtube video:";"我的YouTube视频："
"My video";"我的视频"
"No videos matching your selection";"不符合您的选择"
"Page successfully deleted";"页面移除正确"
"Page successfully saved";"网页保存成功"
"Podcast URL:";"播客的网址："
"Select a video type:";"选择一个类型的视频："
"Small";"小"
"Video URL:";"视频网址："
"Your Podcast:";"你的播客："
