"%s - Account creation";"%s - Kontoerstellung"
"%s - Your new password";"%s - Ihr neues Passwort"
"%s – Account creation";"%s - Konto-Erstellung"
"A request to reset your password has been made.";"Eine Anforderung zum Zurücksetzen Ihres Passworts erzielt worden."
"An error occurred while connecting to your Facebook account. Please try again later";"Während die Verbindung zu Ihrem Facebook-Account hergestellt wurde ist ein Fehler aufgetreten. Bitte versuchen Sie es später noch einmal"
"Are you sure you want to remove this user?";"Bist du sicher, dass Sie diesen Benutzer entfernen möchten?"
"Change Password";"Passwort ändern"
Congratulations,;"Herzlichen Glückwunsch,"
Create;Erstellen
"Create a new user";"Einen neuen Benutzer erstellen"
"Create an account";"Erstellen Sie ein Konto"
"Current password";"Aktuelles Passwort"
Customer;Kunde
Customers;Kunden
Disconnect;"Trennen Sie"
"Edit the user %s";"Bearbeiten des Benutzers %s"
"First name";Vorname
"Forgot your password?";"Passwort vergessen ?"
Gender;Geschlecht
"Here are your credentials:";"Hier sind Ihre Anmeldeinformationen:"
"I accept the <u>privacy policy</u>";"Ich akzeptiere die <u>Datenschutzbestimmungen</u>"
"If you encounter any problems, do not hesitate to contact us:";"Wenn Sie Probleme haben, zögern Sie nicht uns zu kontaktieren:"
"Last name";Nachname
Log-in;Log-in
Login:;Login:
Miss;Miss
Mr;Herr
Mrs;Frau
"My Account";"Ihr Konto"
"My application's users";"Meine Anwendung Benutzer"
"New password";"Neues Passwort"
Old;alt
"Old Password";"Altes Passwort"
"Or with your account";"Oder mit Ihrem Konto"
"Please enter your email address. We'll send you your password right now.";"Bitte geben Sie Ihre E-Mail-Adresse ein. Ihr Passwort wird Ihnen per E-Mail zugestellt."
"Please log in with your mobile phone";"Bitte melden Sie sich mit Ihrem Mobiltelefon an."
"Privacy Policy";"Privacy Policy"
"See you soon,";"Bis bald"
"Show me in ranking";"Zeigen Sie mir die Rangfolge"
"The old email address does not match the entered email address.";"Die alte e-Mail-Adresse stimmt nicht überein, die eingegebene Email-Adresse."
"This user can access the pages locked by the ""Locker"" feature";"Benutzer kann die Funktion des ""Locker"" gesperrten Seiten zugreifen."
"This user is visible in ranking";"Dieser Benutzer ist sichtbar im ranking"
User;Benutzer
"User Information";Benutzerinformationen
Users;Benutzer
"We are sorry but the %s account is already linked to one of our customers";"Es tut uns leid, aber die %s-Konto ist bereits mit einem unserer Kunden verbunden"
"You have created your account. With this account, you will be able to enjoy great offers available in our application.";"Sie haben Ihr Konto erstellt. Mit diesem Konto werden Sie in den Genuss von tollen Angeboten in unserer Anwendung verfügbar."
"Your account has been successfully saved";"Ihr Konto wurde erfolgreich gespeichert"
