Additionnal Information;Bijkomende informatie
And a radius (in Km):;En een straal (in km):
Android;Android
Creation date;Aanmaak datum
Enter a location:;Geef een locatie op:
GCM Key;GCM Key
I want to send it;Ik wil het bericht versturen
Keys successfully saved;Key succesvol opgeslagen
Message;Bericht
Message:;Berichten:
Pending;Nog niet verzonden
Push Notifications;Notifications Push
Push Notifications Settings;Paramètres des notifications push
Radius;Radius
Send to a specific location;Stuur naar een specifiek gebied
Send to all my users;Verstuur naar alle gebruikers
Sender ID;Zender ID
Sending date;Verzend datum
The duration limit must be higher than the sent date;De tijdslimiet moet hoger zijn dan de verzonden datum
Your app must be published to send a push notification.;Uw app moet worden gepubliceerd om een push-bericht versturen.
Your message has been saved successfully and will be sent at the entered date;Uw bericht is succesvol opgeslagen en word op de ingevoerde datum verstuurd
Your message has been saved successfully and will be sent in a few minutes;Uw bericht is succesvol opgeslagen, en word in een paar minuten verzonden
and users entering the area;en gebruikers die het gebied binnen komen
for a limited period;voor een bepaalde periode
now;nu
on a specific date;op een bepaalde datum
