%s - Customer Service;%s – Müşteri hizmetleri
20.00%;20.00%
Add a picture;Bir resim ekleyin
Add options;Seçenekleri ekleyin
Add to cart;Sepete ekle
An error occurred while proceeding the payment. Please, try again later.;Ödeme devam ederken bir hata oluştu. Daha sonra tekrar deneyin.
An error occurred while proceeding your order. Please, check the following information:;Siparişinizi devam ederken bir hata oluştu. Aşağıdaki bilgileri kontrol edin:
Are you sure you want to close without saving;Kaydetmeden kapatmak istediğinizden emin misiniz?
Are you sure you want to delete this category and all its subcategories?;Bu kategori ve tüm alt kategorilerini silmek istediğinizden emin misiniz?
Are you sure you want to delete this store?;Bu mağazayı silmek istediğinizden emin misiniz?
Are you sure you want to delete this tax?;Bu vergi silmek istediğinizden emin misiniz?
Are you sure you want to remove this product?;Bu ürünü kaldırmak istediğinizden emin misiniz?
At least one option is required:;En az bir seçenek gereklidir:
Cancelled;İptal edildi
Carry Out;Uygula
Cart;Sepet
Cash;Nakit
Category;Kategori
Category successfully saved.;Kategori başarıyla kaydedildi.
Check;Kontrol
Choose a delivery method:;Teslim şekli seçiniz:
Choose a payment method:;Ödeme şekli seçiniz:
Choose a store:;Bir mağza seçiniz:
Completed;Tamamlandı
Connected Printers;Bağlı yazıcılar
Continue shopping;Alışverişe devam
Create a new options group;Yeni seçenekler grubu oluştur
Create a new product;Yeni ürün oluştur
Create a new tax;Yeni vergi oluştur
Create a store;Mağza oluştur
Credit Card by phone;Kredi kartı (Telefonda)
Credit card (pay upon pickup or delivery);Kredi kartı (Ürün tesliminde)
Customer;Müşteri
Customer Service;Müşteri servisi
Delivery;Teslim
Delivery Fees;Nakliye ücreti
Delivery Method;Teslim şekli
Delivery area;Teslim bölgesi
Delivery fees;Nakliye ücreti
Delivery fees:;Nakliye Ücreti:
Delivery methods;Teslim şekilleri
Delivery methods:;Teslim şekilleri:
Delivery radius;Teslim yarıçapı
Delivery radius:;Teslim yarıçapı:
Delivery time;Teslim saati
Delivery time:;Teslim saati:
Details;Detaylar
Edit a store;Bir mağza düzenle
Edit the options group %s;Seçenekler grubu düzenleyin %s
Edit the product %s;Ürün düzenleyin %s
Edit the tax %s;Vergi düzenleyin %s
Free delivery starting from;Başlayarak Ücretsiz teslimat
Free delivery starting from:;Başlayarak Ücretsiz teslimat:
Here is the detail of the order;Sipariş detayı
Here is the detail of your order;Siparişlerinizin detayı
Hours of operation;Çalışma saatleri
Hours of operation:;Çalışma saatleri:
In store;Mağzada
Meal Voucher;Yemek Çeki
Minimum order;Minimum sipariş
Minimum order:;Minimum sipariş:
My Cart;Sepetim
My cart is empty;Sepetim boş
My categories;Kategorilerim
My information;Bilgilerim
My orders;Siparişlerim
My product's categories;Ürünlerimin kategorileri
My product's options;Ürünlerimin seçenekleri
My products;Ürünlerim
My stores;Mağzalarım
My taxes;Vergilerim
Name of the options group:;Seçenekler grubunun Adı:
New order from the application;Uygulamadan yeni sipariş
Number;Sayı
Option name;Seçenek adı
Option name:;Seçenek adı:
Options group successfully deleted;Seçenekler grubu başarıyla silindi
Options group successfully saved;Seçenekler grubu başarıyla kaydedildi
Order Number;Sipariş numarası
Order confirmation;Sipariş doğrulaması
Order details;Sipariş detayları
Order successfully saved;Sipariş başarıyla kaydedildi
Orders;Siparişler
Paid;Ödendi
Password;Şifre
Password:;Şifre:
Payment;Ödeme
Payment Method;Ödeme Şekli
Payment methods:;Ödeme şekilleri:
Paypal;Paypal
Pending payment;Bekleyen ödemeler
Picture;Resim
Please choose a delivery method;Bir teslim yöntemi seçiniz
Please choose a payment method;Bir ödeme yöntemi seçiniz
Please, enter an email address for the store %s;Mağza için bir email adresi seçin %s
Price;Fiyat
Price: %s;Fiyat: %s
Printer successfully saved;Yazıcı başarıyla kaydedildi
Proceed;Devamet
Product;Ürün
Product name;Ürün adı
Product name:;Ürün adı:
Product successfully saved;Ürün başarıyla kaydedildi
Qty;Miktar
Qty: %s;Miktar: %s
Radius in Km;Km yarıcap
Review;İncele
Settings;Ayarlar
Signature;İmza
Signature:;İmza:
Status;Statü
Store information;Mağza Bilgisi
Store name;Mağza ismi
Store name:;Mağza ismi:
Store successfully deleted;Mağza başarıyla silindi
Store successfully saved;Mağza başarıyla kaydedildi
Stores;Mağzalar
Subtotal;Alt toplam
Tax;Vergi
Tax name;Vergi adı
Tax name:;Vergi adı:
Tax rate;Vergi oranı
Tax rate:;Vergi oranı:
Tax successfully deleted;Vergi başarıyla silindi
Tax successfully saved;Vergi başarıyla kaydedildi
Tax:;Vergi:
Thank you!;Teşekkürler!
The delivery method;Teslim şekli
The following options are required:<br />%s;Aşağıdaki seçenekler gereklidir:<br />%s
The option %s is required;Seçenek %s gerekli
The payment has been cancelled, something wrong happened? Feel free to contact us;Ödeme iptal edildi, bir şeyler yanlış oldu? Bizimle temas kurmaktan çekinmeyin
The payment method;Ödeme Şekli
Time in minutes;Zaman(dakika)
Total;Toplam
Total Excl. Tax;Vergi hariç toplam
Total Tax;Toplam vergi
Total: %s;Toplam: %s
Unit Price;BirimFiiyatı
Unit price;Birim fiyatı
Username;Kullanıcı adı
Username:;Kullanıcı adı:
