"%d Unread Message";"%d μη-αναγνωσμένο μήνυμα"
"%d Unread Messages";"%d μη-αναγνωσμένα μηνύματα"
"Account";"Λογαριασμός"
"Change the password";"Αλλαγή Κωδικού"
"Click to mark as not read";"Κάντε κλικ για να το επισημάνετε ως μη-αναγνωσμένο"
"Click to mark as read";"Κάντε κλικ για να το επισημάνετε ως αναγνωσμένο"
"Create a user";"Δημιουργία χρήστη"
"Edit the account ""%s""";"Επεξεργασία λογαριασού ""%s"""
"Edit the user";"Επεξεργασία χρήστη"
"Enter your credentials:";"Εισάγετε τα στοιχεία σας:"
"List of backoffice accounts";"Κατάλογος των λογαριασμών backoffice"
"List of the messages";"Λίστα μηνύματων"
"Login to your backoffice interface";"Είσοδος στον πίνακα διαχείρισής σας"
"People who are allowed to access the backoffice";"Οι χρήστες που έχουν πρόσβαση στο backoffice"
"Siberian CMS";"Siberian CMS"
"This account can't be deleted, it's the only one";"Αυτός ο λογαριασμός δεν μπορεί να διαγραφεί, είναι ο κεντρικός"
"User successfully deleted";"Ο χρήστης διεγράφη επιτυχώς"
"View Details";"Δείτε λεπτομέρειες"
"Your new password";"Ο νέος σας Κωδικός"
"Your password";"Κωδικός"
