"Create a new language";"Erstellen Sie eine neue Sprache"
"Default text";Standardtext
"Edit the language: %s";"Editieren Sie die Sprache: %s"
Language;Sprache
"Language successfully saved";"Sprache erfolgreich gespeichert"
"List of your languages";"Liste der Sprachen"
"Please, choose a file.";"Bitte wählen Sie eine Datei."
"Please, choose a language.";"Bitte wählen Sie eine Sprache."
"Select a file";"Wählen Sie eine Datei"
"Select a language";"Wählen Sie eine Sprache"
"Text translation";Textübersetzung
Translations;Übersetzungen
"Your translation";"Ihre Übersetzung"
